标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,任务类型
【动画设计】MG动画一分钟短片,https://task.epwk.com/1028283/,1324人,4人,¥1200,圆满完成,威益客ZKkGt,二维平面视频，介绍内分泌内容,2023-02-04,2023.04.06,任务编号：1028283,1200.0,"15天,7天,3天","北京市-北京市-海淀区,山东省-青岛市,北京市-北京市-石景山区",BOMUNI工作室,https://shop.epwk.com/m7d7wom7k5q8/,BOMUNI工作室,出售服务,https://shop.epwk.com/m7d7wom7k5q8/chushou/,企业,五品,44分,,,BOMUNI工作室,,游戏开发定制游戏源码3D游戏H5游戏微信小程序,"￥500
            /件",视频制作剪辑包装字幕特效片头企业宣传片短视频拍摄制作,"￥1000
            /件",3D建模渲染三维IP形象吉祥物3D主图3D产品3D人物设计,"￥100
            /件",logo设计动态logo公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",动画设计
【抖音代运营】短视频平台账号分析,https://task.epwk.com/1042693/,51人,1人,¥2000,圆满完成,k7680****6,"公司有自己短视频渠道代运营账号，近期账号的各项数据较差，需要有自身的短视频平台运营
人员进行分析，改进",2023-02-01,2023.02.20,任务编号：1042693,2000.0,7天,四川-成都市-市辖区,致命的玩笑,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,抖音代运营
【剪辑服务】视频剪辑，能做多种风格的,https://task.epwk.com/1027426/,9084人,7人,¥5000,圆满完成,微服iNOLj,主要是为商家做视频剪辑，能做多种风格需要每天能出2条片，一般都是2分钟左右内容是围绕大社区，以老街坊的形式来做当中有采访商家以及是专业个人很多多少茶余饭后的事，让附近的人都在这平台上面,2023-01-23,2023.05.06,任务编号：1027426,5000.0,"7天,1天","北京市-北京市,福建省-福州市-台江区",BOMUNI工作室,https://shop.epwk.com/m7d7wom7k5q8/,BOMUNI工作室,出售服务,https://shop.epwk.com/m7d7wom7k5q8/chushou/,企业,五品,44分,,,BOMUNI工作室,,游戏开发定制游戏源码3D游戏H5游戏微信小程序,"￥500
            /件",视频制作剪辑包装字幕特效片头企业宣传片短视频拍摄制作,"￥1000
            /件",3D建模渲染三维IP形象吉祥物3D主图3D产品3D人物设计,"￥100
            /件",logo设计动态logo公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",剪辑服务
【动画制作】产品动画制作,https://task.epwk.com/1042683/,122人,1人,¥1300,圆满完成,k2143****6,公司产品动画制作，需要加入自身的创意，突出产品亮点，具体需求联系,2023-01-10,2023.01.28,任务编号：1042683,1300.0,5天,辽宁-大连市-市辖区,彼岸红尘,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,动画制作
【产品视频】夹心饼干产品视频,https://task.epwk.com/1044644/,87人,1人,¥1500,圆满完成,k3412****7,选用适合夹心饼干的轻快、幸福、愉悦的音乐，配合画面情境，注重有节奏的音效让观众记住美味。利用合适的技术手段制作出符合剧情的特效图像，如食材切割、夹心展示、色彩愉悦等，以夸大和突出产品特点。,2022-12-15,2023.01.10,任务编号：1044644,1500.0,3天,贵州-贵阳市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【产品视频】修眉刀产品视频,https://task.epwk.com/1045337/,51人,1人,¥1500,圆满完成,k5116****9,突出产品的特点、功能、适用场景、优势等，真人展示,2022-12-12,2023.01.07,任务编号：1045337,1500.0,2天,贵州-贵阳市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【产品视频】短袜产品视频,https://task.epwk.com/1043643/,93人,1人,¥1200,圆满完成,k2268****6,根据产品的不同款式和特点，策划不同的拍摄角度和镜头，例如特写、中景和全景等，以呈现不同视角的产品特点。视频时长应控制在数十秒至两分钟之间。,2022-12-09,2022.12.21,任务编号：1043643,1200.0,3天,宁夏-银川市-市辖区,望川秋水,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【产品视频】懒人挂脖风扇产品视频,https://task.epwk.com/1043212/,58人,1人,¥1500,圆满完成,k3356****6,需要一段时长为 30 秒左右的产品视频，用于展示懒人挂脖风扇的设计和功能。视频需要突出产品的便捷性和舒适性，以及背后的科技感。,2022-12-09,2022.12.26,任务编号：1043212,1500.0,3天,辽宁-沈阳市-市辖区,故事老酒,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【产品视频】意大利面产品视频,https://task.epwk.com/1044432/,80人,1人,¥1200,圆满完成,k6178****6,需要准备好适合的拍摄场景和道具，比如厨房、餐厅等。采用合适的拍摄手法和角度来展现出美食的特点。使用不同的镜头来记录不同的角度和化解难点，以及使用多角度的拍摄方式，可以更好地展现出食物的美丽和吸引力。,2022-12-08,2023.01.03,任务编号：1044432,1200.0,2天,贵州-贵阳市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【产品视频】奶茶产品视频,https://task.epwk.com/1042686/,121人,1人,¥2500,圆满完成,k7892****3,为了拍摄精美的奶茶产品视频，需要准备适当的拍摄设备。通常在制作中需要使用高清摄像机、三脚架等设备在实际拍摄过程中，需要关注细节，包括演员表现、光线、构图、画面的实际情况等等。在拍摄完成后，可以修改视频的节奏和画面。,2022-12-06,2022.12.22,任务编号：1042686,2500.0,3天,福建-泉州市-市辖区,aqi688,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【3D视频】蓝弦耳机3D视频,https://task.epwk.com/1043211/,80人,1人,¥4500,圆满完成,k1439****0,"视频需要完整地展示耳机的造型、结构和功能，并配合音乐和场景，凸显其高音质和个性化特点。需要将各个部分的特点和细节拍摄清晰，如耳机的线材、插头、控制键等，让观众能够清晰地了解耳机的整体结构和材质。
视频需要特别注重耳机的音质和个性化特点，包括但不限于立体音效、高保真音质、自适应降噪等方面。",2022-11-15,2022.11.28,任务编号：1043211,4500.0,5天,宁夏-银川市-市辖区,望川秋水,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,3D视频
【动画制作】医药保健品动画制作,https://task.epwk.com/1043209/,64人,1人,¥3500,圆满完成,k5186****6,通过动画的形式向受众展示医药保健品的作用、优点、用法等信息。在制作医药保健品动画前，通常需要进行策划和预备工作,2022-11-14,2022.11.29,任务编号：1043209,3500.0,5天,浙江-杭州市-市辖区,ozwn499spehxzf,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,动画制作
【企业宣传片】脚本撰写和视频剪辑,https://task.epwk.com/1021114/,537人,2人,¥300,圆满完成,时年风华,1、撰写简单脚本；2、根据脚本剪辑内容；3、接受20分钟的简单问答。,2022-11-09,2022.11.11,任务编号：1021114,300.0,"3天,1天","湖北省-武汉市,江苏省-徐州市",蓝标文化传媒,https://shop.epwk.com/0z5o4x6z8njq/,蓝标文化传媒,出售服务,https://shop.epwk.com/0z5o4x6z8njq/chushou/,企业,七品,44分,,,蓝标文化传媒,,品牌营销策划,"￥5000
            /次",宣传片拍摄制作,"￥8000
            /次",信息流短视频制作,"￥500
            /次",三维动画制作,"￥500
            /起",企业宣传片
【创意短视频】一分钟男明星混剪视频,https://task.epwk.com/1021045/,1570人,1人,¥200,圆满完成,七日春信,完成一分钟男明星视频混剪（1）男明星分别为陈晓、许光汉、刘奕君、陈冠霖，每人大概15s左右（2）需要加入BGM（3）需要两个服务商合作完成（4）任务结束后需要进行大概20min的线上访谈,2022-11-08,2022.11.23,任务编号：1021045,200.0,3天,辽宁省-大连市-甘井子区,甜薪文化,https://shop.epwk.com/09drjygle53w/,甜薪文化,出售服务,https://shop.epwk.com/09drjygle53w/chushou/,企业,四品,44分,,,甜薪文化,,宣传片AE特效剪辑,"￥1000
            /件",MG动画3D三维立体动画影视制作,"￥70
            /秒",3D建模人物道具游戏影视原创建模骨胳绑定,"￥1000
            /款",原创创意包装手绘包装,"￥1000
            /款",创意短视频
【3D视频】3d漫画视频,https://task.epwk.com/1042681/,83人,1人,¥4500,圆满完成,k4465****5,在开始制作3D漫画视频之前，需要确定剧本和角色设计。完成剧本和角色设计之后，需要进行3D建模设计。使用具有功能强大的3D建模软件，为角色和场景进行建模,2022-11-06,2022.11.26,任务编号：1042681,4500.0,7天,湖南-岳阳市-市辖区,caijunxiong,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,3D视频
【动画制作】仙人角色动画制作,https://task.epwk.com/1042682/,140人,1人,¥5000,圆满完成,k8550****5,"根据仙人角色的特点、品质和需求方的品牌要求，制作三维的模型，并通过多次修改和完善，确定角色的细节，以便适应后续的动画制作。
设计故事情节和动画脚本就是要将仙人角色与品牌的愿景进行整合，指定动画的主题和场景，提高动画的趣味性。",2022-11-06,2022.11.25,任务编号：1042682,5000.0,8天,浙江-温州市-市辖区,一濒箫声,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,动画制作
【创意短视频】一分钟男明星混剪视频,https://task.epwk.com/1020622/,1822人,4人,¥150,圆满完成,七日春信,完成一分钟男明星视频混剪（1）男明星分别为陈晓、许光汉、刘奕君、陈冠霖，每人大概15s左右（2）需要加入BGM（3）需要两个服务商合作完成（4）任务结束后需要进行大概20min的线上访谈,2022-11-04,2022.11.23,任务编号：1020622,150.0,"3天,3天,2天","河北省-廊坊市,山东省-青岛市,江苏省-徐州市",墨柒设计,https://shop.epwk.com/m7d7woplw5q8/,,,,,,,,,,,,,,,,,,,创意短视频
【后期制作】人物对话视频剪辑,https://task.epwk.com/1020327/,2399人,6人,¥200,圆满完成,o6163b1146ad75,将多人的对话视频混剪成一个短视频，视频风格温馨、真情流露、欢快即可。最终成稿呈现给一位即将退休的老领导。,2022-11-02,2022.11.09,任务编号：1020327,200.0,"2天,3天,7天,2天","内蒙古-赤峰市-市辖区,山东省-青岛市,浙江省-金华市,江苏省-徐州市-睢宁县",蒙创传媒,https://shop.epwk.com/2j5xogpwg5xm/,,,,,,,,,,,,,,,,,,,后期制作
【剧本创作】短视频文案及脚本创作（已确定服务商）,https://task.epwk.com/1019674/,606人,1人,¥4500,圆满完成,yeli2005,产品推广短视频文案以及脚本制作（15秒左右短视频），需求长期合作。每月不低于30个作品。,2022-10-28,2022.11.18,任务编号：1019674,4500.0,15天,广东省-广州市-增城市,广州可米猫传媒,https://shop.epwk.com/81n41qjkvnp6/,广州可米猫传媒,出售服务,https://shop.epwk.com/81n41qjkvnp6/chushou/,企业,七品,41分,,,广州可米猫传媒,,摄影摄像 跟拍摄影摄像,价格面议,视频影片剪辑,价格面议,视频影片特效处理,价格面议,企业宣传片广告片产品视频拍摄剪辑,价格面议,剧本创作
【动画设计】宣传片动画包装设计，已确定服务商,https://task.epwk.com/1019097/,429人,1人,¥4000,圆满完成,水上景色,宣传片动画包装设计，已沟通的为准,2022-10-24,2022.10.25,任务编号：1019097,4000.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",动画设计
【动画设计】APP抽奖动画设计,https://task.epwk.com/1018761/,450人,1人,¥500,圆满完成,o5bd03767de70e,APP抽奖动画设计  具体需求详谈,2022-10-21,2022.10.24,任务编号：1018761,500.0,3天,重庆市-市辖区-沙坪坝区,趣易开发设计,https://shop.epwk.com/0z5o4xmrxnjq/,趣易开发设计,出售服务,https://shop.epwk.com/0z5o4xmrxnjq/chushou/,企业,六品,44分,,,趣易开发设计,,APP动效，游戏技能动效,"￥500
            /件",LOGO设计,"￥500
            /件",吉祥物\手办\动漫形象\3D打印,"￥2000
            /件",,,动画设计
【创意短视频】智能急救软件：生命宝标，短视频制作,https://task.epwk.com/1018474/,727人,2人,¥300,圆满完成,拉8网,1、智能急救软件：生命宝标，短视频推广。2、标题、内容、风格作者自定。3、要3款短视频，每个100元。我们选好后，请把它放上短视频渠道代运营、快手、好看视频，微视。4、生命宝标是什么，请百度。5、这次合作愉快，以后长期合作。,2022-10-19,2022.10.28,任务编号：1018474,300.0,3天,湖北省-武汉市,蓝标文化传媒,https://shop.epwk.com/0z5o4x6z8njq/,蓝标文化传媒,出售服务,https://shop.epwk.com/0z5o4x6z8njq/chushou/,企业,七品,44分,,,蓝标文化传媒,,品牌营销策划,"￥5000
            /次",宣传片拍摄制作,"￥8000
            /次",信息流短视频制作,"￥500
            /次",三维动画制作,"￥500
            /起",创意短视频
【3D视频】防晒冰袖3d视频,https://task.epwk.com/1045336/,44人,1人,¥3500,圆满完成,k9280****0,对于3D动画和视频制作有深入的了解和热情，能够将防晒冰袖的特点和优势准确表现出来。,2022-10-19,2022.11.14,任务编号：1045336,3500.0,3天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,3D视频
【产品视频】凉水壶产品视频,https://task.epwk.com/1047309/,295人,1人,¥8000,圆满完成,k9508****4,展示我们的凉水壶产品的特点、功能和优势，以吸引目标受众的注意，并促使他们对产品产生兴趣和购买意愿。我们希望通过这个视频展示凉水壶的外观设计、材质质量、易于清洁、保持水温等特性。应具备专业的摄影和后期制作技能，能够运用高质量的摄影设备和软件（例如Adobe Premiere Pro、Final Cut Pro等）来拍摄和编辑视频素材。在后期制作阶段，要对视频进行剪辑、特效、颜色校正等处理，以确保视频的视觉效果和观赏性。,2022-10-18,2022.11.13,任务编号：1047309,8000.0,7天,贵州-贵阳市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【创意短视频】10分钟建筑视频剪辑,https://task.epwk.com/1018149/,10252人,1人,¥1000,圆满完成,威勒尼xUUvx,我这边提供素材、文案，剪辑成5-10分钟短视频。,2022-10-17,2022.12.07,任务编号：1018149,1000.0,7天,天津市-市辖区,亘鼎文化,https://shop.epwk.com/89dvgv1ozdl2/,,,,,,,,,,,,,,,,,,,创意短视频
【3D视频】3d特效视频,https://task.epwk.com/1044431/,118人,1人,¥2800,圆满完成,k2111****3,"需要掌握扎实的技术素养和充分的创意。制作人员需要在不断尝试、反复练习的过程中，逐步掌握制作技巧，以制作出更具质量和观赏性的3D特效视频。
在制作3D特效视频时，需要明确视频的风格和目的。",2022-10-16,2022.11.11,任务编号：1044431,2800.0,3天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,3D视频
【3D视频】无人机3d视频,https://task.epwk.com/1043642/,73人,1人,¥2800,圆满完成,k6684****4,借助专业软件（如Pix4Dmapper），将所拍摄的图像打包，并生成基于摄像机的三维地图模型。根据需要确定拍摄的区域和路线，确定飞行高度、速度等参数。,2022-10-15,2022.10.27,任务编号：1043642,2800.0,3天,广东-广州市-市辖区,霸气横秋,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,3D视频
【影视拍摄】展会拍摄,https://task.epwk.com/1017953/,493人,1人,¥4000,圆满完成,vitorru,"项目:展会拍摄称呼:金先生地区:江苏省,苏州市需求:拍摄视频需求：1.视频3分钟以内                        2.需要对展馆、开幕式、河北特装展位、企业产品细节、展馆现场行进拍摄，10月20-22，只需要1天的，20号一天。对于去回澳门是否需要隔离，说是看地区。",2022-10-14,2022.10.24,任务编号：1017953,4000.0,2天,湖北省-武汉市-江夏区,蓝标文化传媒,https://shop.epwk.com/0z5o4x6z8njq/,蓝标文化传媒,出售服务,https://shop.epwk.com/0z5o4x6z8njq/chushou/,企业,七品,44分,,,蓝标文化传媒,,品牌营销策划,"￥5000
            /次",宣传片拍摄制作,"￥8000
            /次",信息流短视频制作,"￥500
            /次",三维动画制作,"￥500
            /起",影视拍摄
【产品视频】运动鞋产品视频,https://task.epwk.com/1050333/,264人,1人,¥8000,圆满完成,k5186****6,向消费者展示我们的产品特点、设计风格和性能优势，以提升品牌认知度和销售量。具备专业的摄影技巧和拍摄设备，能够拍摄高质量的运动鞋产品镜头，展示其外观、细节和运动效果。,2022-10-11,2022.11.06,任务编号：1050333,8000.0,7天,贵州-贵阳市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【产品视频】全脂纯牛奶产品视频,https://task.epwk.com/1047898/,144人,1人,¥8000,圆满完成,k3525****7,能够捕捉全脂纯牛奶的外观、质感和口感，使视频具有真实感并诱发观众的味蕾体验。突出全脂纯牛奶的品质特点和健康价值。展示我们产品的高品质、营养价值和口感体验，为消费者传递正面信息并激发他们的购买意愿。,2022-10-08,2022.11.03,任务编号：1047898,8000.0,5天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【产品视频】魔力擦海绵视频,https://task.epwk.com/1046193/,454人,1人,¥20000,圆满完成,k7895****1,根据我们提供的魔力擦海绵产品信息，设计出一份有创意和吸引力的产品视频剧本，包括场景设计和拍摄计划，并且能够在实际拍摄中精准呈现剧本中的内容和意图。,2022-10-04,2022.10.30,任务编号：1046193,20000.0,10天,贵州-贵阳市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,产品视频
【剪辑服务】需要剪辑4个游戏视频过任务,https://task.epwk.com/1016495/,2072人,4人,¥100,圆满完成,o6238****d9a64,价格便宜点 过中视频伙伴计划就行  最好是自己弄几个游戏视频 发我  最好  我是录屏的游戏 需要剪辑下 加点文案或者其它的特效图片之类的,2022-10-03,2022.10.07,任务编号：1016495,100.0,"3天,5天,1天,2天","贵州省-贵阳市-南明区,江苏省-徐州市,甘肃省-兰州市-永登县,山东省-青岛市-市南区",贵州乐硕文化传媒,https://shop.epwk.com/9w56eq24kdv1/,贵州乐硕文化传媒,出售服务,https://shop.epwk.com/9w56eq24kdv1/chushou/,企业,七品,44分,,,贵州乐硕文化传媒,,房地产类设计,"￥900
            /起",电商详情页设计,"￥800
            /起",产品包装设计,"￥1000
            /起",优质画册设计,"￥500
            /起",剪辑服务
【抖音代运营】薯条短视频平台认证代运营,https://task.epwk.com/1050344/,260人,1人,¥12000,圆满完成,k4519****9,具备创意和策划能力，能够制定短视频平台认证内容的策略和计划，包括视频创意、话题挖掘、品牌宣传等。具备视频拍摄和编辑能力，能够根据品牌定位和产品特点，制作吸引人的薯条相关视频内容，包括制作教程、产品宣传等。根据品牌需求和用户画像，制定短视频点赞内容发布计划，合理安排视频发布频率和时间段。,2022-09-30,2022.10.26,任务编号：1050344,12000.0,12天,辽宁-大连市-市辖区,彼岸红尘,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,抖音代运营
【企业宣传片】企业简介视频制作,https://task.epwk.com/1016010/,1322人,7人,¥2500,圆满完成,居喜爱,已有拍摄好的工厂素材（包括解说词与视频、图片等），需要加上一些有行业特色的其他素材（无侵权），配音配乐剪辑成一个企业宣传片，片长3-5分钟即可。要开票。,2022-09-28,2022.11.08,任务编号：1016010,2500.0,"7天,7天,3天,5天,3天","天津市-市辖区,江苏省-苏州市,广东省-广州市-增城市,四川省-德阳市,湖北省-武汉市-武昌区",亘鼎文化,https://shop.epwk.com/89dvgv1ozdl2/,,,,,,,,,,,,,,,,,,,企业宣传片
【抖音代运营】马桶垫短视频平台认证代运营,https://task.epwk.com/1048926/,128人,1人,¥12000,圆满完成,k9368****9,负责马桶垫相关的短视频拍摄、剪辑和后期制作，确保视频质量和视觉效果，增加用户的观看和转发。撰写有趣、幽默、引人入胜的文案，能够吸引目标受众的注意力，并与配图或视频相匹配，提升用户的关注和参与度。负责短视频平台账号上的用户互动，回复评论、私信和提问，提供一对一的服务和咨询，增加用户的满意度和购买的转化率。进行短视频点赞数据分析，定期提供数据报告，包括粉丝量的增长、视频播放量、互动指标等，以便进行优化和改进策略。,2022-09-28,2022.10.24,任务编号：1048926,12000.0,10天,吉林-长春市-市辖区,凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,抖音代运营
【GIF动画】羽毛球搞笑gif动画,https://task.epwk.com/1044443/,81人,1人,¥1500,圆满完成,k2716****1,"需要选择有趣、有搞笑效果的场景来制作。例如，球员在比赛中犯错的画面、意外的掉球、搞笑的表情等。
可以在网上搜索羽毛球相关的图片和视频，或者自己录制相关的视频素材。",2022-09-25,2022.10.21,任务编号：1044443,1500.0,3天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,GIF动画
【抖音视频】爆炸盐短视频平台认证视频,https://task.epwk.com/1046204/,2875人,1人,¥10000,圆满完成,k6988****3,"根据我们提供的爆炸盐产品信息和品牌理念，设计出一份有创意和吸引力的短视频平台认证短视频剧本，包括场景设计和拍摄计划，并且在实际拍摄中精准呈现剧本中的内容和意图。
后期制作和编排：具备出色的后期制作技巧和经验，能够运用剪辑、音效、特效等后期处理，将多个视频片段和元素组织成一份高质量、完整且富有吸引力的短视频。",2022-09-23,2022.10.19,任务编号：1046204,10000.0,7天,广西-南宁市-市辖区,颠覆風雲,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,抖音视频
【GIF动画】毕业典礼开场动画gif,https://task.epwk.com/1043219/,67人,1人,¥3000,圆满完成,k4406****7,需要一段毕业典礼开场动画 GIF，长度为10秒左右。动画主要展示毕业生们这段人生里最重要的时刻。动画以学校或毕业班级的标志性建筑为背景，或利用学校或班级的象征性图案进行创意呈现。动画的主题以毕业为主，尽可能突出毕业生的精神和个性特点。,2022-09-22,2022.10.04,任务编号：1043219,3000.0,3天,四川-成都市-市辖区,致命的玩笑,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,GIF动画
【GIF动画】显微镜动画制作,https://task.epwk.com/1046203/,57人,1人,¥3000,圆满完成,k8328****9,"根据我们提供的显微镜实验信息和数据，设计一份能够生动展示细胞结构和变化的二维或三维显微镜动画。
制作：需要使用专业的动画软件和工具，制作高质量的动画视频，能够展现显微镜下的细胞内部结构以及变化的过程。",2022-09-21,2022.10.17,任务编号：1046203,3000.0,3天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,GIF动画
【GIF动画】吃货表情gif动画,https://task.epwk.com/1043653/,51人,1人,¥1500,圆满完成,k5463****4,要求根据产品logo制作吃货表情gif,2022-09-20,2022.10.03,任务编号：1043653,1500.0,2天,辽宁-大连市-市辖区,彼岸红尘,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,GIF动画
【抖音代运营】维生素c短视频点赞代运营,https://task.epwk.com/1048925/,167人,1人,¥12000,圆满完成,k9237****3,熟悉短视频渠道代运营平台的规则和运营策略，能够负责内容的发布、管理和互动，与观众保持良好的互动和沟通。能够监测和分析短视频平台认证运营数据，包括曝光量、互动率、转化率等，根据数据优化运营策略，提高内容传播效果和销售转化率。能够提供有趣、有吸引力的维生素C产品相关内容创意，并制作出高质量的短视频渠道代运营视频。,2022-09-20,2022.10.16,任务编号：1048925,12000.0,9天,陕西-西安市-市辖区,皓月烟云,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,抖音代运营
【GIF动画】搞怪动画gif,https://task.epwk.com/1042699/,83人,1人,¥3000,圆满完成,k1793****5,在设计搞怪动画GIF之前，需要确定动画的主题和概念。可以选取和特定节日、场合或品牌等相关的主题，同时结合品牌形象和故事情节。在确定场景、剧本和角色之后，需要绘制原画和美术画稿。通过绘制传递慢动作或快动作、姿态和表情等来展示角色和场景的动态。,2022-09-20,2022.10.02,任务编号：1042699,3000.0,5天,山西-太原市-市辖区,o60ee5c95d80c4,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,GIF动画
【抖音视频】面筋辣条短视频渠道代运营视频,https://task.epwk.com/1045346/,230人,1人,¥2000,圆满完成,k4188****5,突出面筋辣条产品的特点、口感、辣味等独特优势，并以创新的方式呈现给观众。,2022-09-19,2022.10.15,任务编号：1045346,2000.0,3天,广西-南宁市-市辖区,颠覆風雲,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,抖音视频
【抖音视频】长锁短视频平台认证视频,https://task.epwk.com/1042696/,192人,1人,¥1500,圆满完成,k3019****5,准备所需的拍摄器材和场地，确保画面的拍摄具有足够的画质和音质。视频需要适合的音乐和音效，来增强画面的感染力和节奏感。视频需要具有独特的创意和有趣的表现方式，充分展现主题的魅力,2022-09-18,2022.10.02,任务编号：1042696,1500.0,3天,河南-郑州市-市辖区,chenliwen666的店铺,https://shop.epwk.com/p05qjkglodev/,,,,,,,,,,,,,,,,,,,抖音视频
【广告摄影】青花椒广告摄影,https://task.epwk.com/1043652/,77人,1人,¥2500,圆满完成,k2009****6,根据主题和风格要求，确认青花椒的拍摄场景及布置，准备青花椒产品及配料，考虑采用专业的道具来搭配出完美的画面，以及背景底纹等。需要根据青花椒的产品属性和推广目的，确定拍摄主题和风格，例如，强调口感、原料等特点，以及强调产品的焦点如“纯天然”等。,2022-09-18,2022.09.29,任务编号：1043652,2500.0,3天,四川-成都市-市辖区,致命的玩笑,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,广告摄影
【小红书营销】过桥米线小红书营销,https://task.epwk.com/1044442/,106人,1人,¥2500,圆满完成,k8953****7,需要根据受众的需求和用户心理来制定不同的营销策略和宣传方式，加上个性化、独特的创意元素，从而赢得用户的关注和认可。,2022-09-18,2022.10.14,任务编号：1044442,2500.0,3天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,小红书营销
【GIF动画】交通标志gif动画,https://task.epwk.com/1045345/,57人,1人,¥2000,圆满完成,k9988****4,制定一系列有创意的交通标志gif动画，对于交通标志和交通行业有深入的了解和热情，能够熟练使用交通标志的符号和颜色，并能准确显示其意义。,2022-09-16,2022.10.12,任务编号：1045345,2000.0,3天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,GIF动画
【广告摄影】香水广告摄影,https://task.epwk.com/1044441/,72人,1人,¥2500,圆满完成,k1957****9,需要注意香水瓶的形状、瓶盖的细节、香水的颜色和香气所代表的品牌特性等方面。需要充分考虑产品的特点和优势，注重构图和美学效果，并且灯光、背景以及香水瓶的构图方面都需要特别注意，从而拍摄出符合品牌形象和市场需求的香水广告。,2022-09-16,2022.10.12,任务编号：1044441,2500.0,4天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,广告摄影
【GIF动画】运动gif动画,https://task.epwk.com/1044658/,96人,1人,¥2000,圆满完成,k5186****1,gif动画需要注意动画速度的快慢，尽可能贴近真实运动的速度和节奏，使动画更生动、流畅，增强观看体验。,2022-09-15,2022.10.11,任务编号：1044658,2000.0,3天,河北-石家庄市-市辖区,无敌帅锅,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,GIF动画
【广告摄影】婚纱摄影广告,https://task.epwk.com/1042695/,66人,1人,¥3500,圆满完成,k7005****5,为了吸引顾客，婚纱摄影广告应该具有吸引力、创新性和新颖度。根据广告策略的创意，设计广告主题和视觉形象，包括文字、元素、图片和音乐等。,2022-09-15,2022.10.03,任务编号：1042695,3500.0,5天,河南-新乡市-市辖区,精品logo设计,https://shop.epwk.com/j7n38q3135e1/,,,,,,,,,,,,,,,,,,,广告摄影
