标题,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【自建房】自建房平面设计,302人,1人,1000元以内,圆满完成,自建房,k4873****3,地块南北11米，东西4.5米，计划四层，为一套，主要为养老住，一楼最好为车库,2021-10-06,2021.10.15,任务编号：966562,1000.0,6天,四川省-成都市-市辖区,内装施工图纸深化设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】写字楼装饰工程造价,454人,1人,3000-5000元,圆满完成,工程造价,k3526****3,写字楼装饰工程，建筑面积2132.86平米,2021-10-06,2021.10.17,任务编号：966823,5000.0,6天,广东省-汕头市-市辖区,雅颂设计,,,,,,,,,,,,,,,,,,,,,,,
【自建房】毛坯自建房装修设计,235人,1人,1000元以内,圆满完成,自建房,k2009****6,装修风格：地中海风格，厅室：屋顶休闲花园，面积：58，一个约58平米简约屋顶花园设计,2021-10-06,2021.10.17,任务编号：966564,1000.0,3天,上海市-上海市-市辖区,天异视觉设计,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】市区公园导视系统设计,278人,1人,1万-2万元,圆满完成,导视设计,k9064****6,需要设计提示牌、警示牌、厕所牌、精神文明牌、介绍牌、功能提示牌、设施名称牌,2021-10-06,2021.10.16,任务编号：963915,15000.0,5天,浙江省-温州市-市辖区,银翼效果图设计表现,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】地下商场建筑设计,405人,1人,1万-2万元,圆满完成,商业建筑,k1886****6,面积4500平，图纸目录，门窗表，装修表，建筑设计总说明等,2021-10-06,2021.10.17,任务编号：966239,20000.0,6天,安徽省-芜湖市-市辖区,简艺空间装饰设计,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】养老院整体设计,249人,1人,5000-10000元,圆满完成,医疗机构,k2856****5,共3层，养老院室外场地长33m，宽30m。每层都要有护士站及休息室,2021-10-05,2021.10.18,任务编号：966245,10000.0,5天,重庆市-重庆市-市辖区,k531286305,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】复式新房装修，轻装修，重装饰,719人,2人,1000-3000元,圆满完成,复式设计,k2327****8,设计风格：轻奢风。客厅计划安装投影仪，采用画框幕布。主卧室采用L型衣柜隔出衣帽间，同时伸出一截当做化妆台，其余房间主要是柜子内部设计，以及墙面色彩搭配，可以适当采用一些简单的造型点缀,2021-10-05,2021.10.16,任务编号：963944,2500.0,"3天,4天","陕西省-西安市-市辖区,上海市-上海市-市辖区",淄博前景空间设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】安防工程预算,244人,1人,1000-3000元,圆满完成,工程造价,k1544****3,毛坯房请装修公司半包装修，我要求把厨房和卫生间的门洞改小，另外，厨房门洞加做一个门垛,2021-10-05,2021.10.17,任务编号：966821,3000.0,4天,云南省-昆明市-市辖区,瀚蓝设计,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】高端医疗机构前台设计,363人,1人,1万-2万元,圆满完成,医疗机构,k2529****1,前台要大气轻奢风格，背景墙有LOGO，两边是设置接待区和等候区，前台左侧是滚动电梯，后侧是直梯,2021-10-05,2021.10.15,任务编号：966244,20000.0,3天,黑龙江省-哈尔滨市-市辖区,扬设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】展览馆扩建设计,408人,2人,2万-5万元,圆满完成,商业建筑,k9095****8,南北侧想由半透明的绿色玻璃所包覆，激发对玉石的联想,2021-10-05,2021.10.16,任务编号：966232,50000.0,"6天,6天","湖南省-常德市-市辖区,辽宁省-葫芦岛市-市辖区",京羿视觉装饰设计,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】想在湖面设计一个喷泉,244人,1人,1万-2万元,圆满完成,喷泉设计,k4842****8,主要以观赏为主，随着音乐变化，带灯光效果的,2021-10-05,2021.10.15,任务编号：966829,15000.0,3天,广东省-汕头市-市辖区,k614912970,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】生产车间建筑工程设计,396人,1人,1000元以内,圆满完成,商业建筑,k6226****5,设计项目名称：玫瑰精油生产车间厂房设计。设计项目规模、结构：规格长30米、宽 10米，高度10米，总面积300平方米左右，钢结构二层。,2021-10-05,2021.10.15,任务编号：966235,1000.0,6天,安徽省-芜湖市-市辖区,力行空间设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】高速公路服务区建筑设计,489人,1人,1万-2万元,圆满完成,商业建筑,k8566****1,高速公路服务区的商业中心，7000平方，区域划分明确,2021-10-05,2021.10.15,任务编号：966234,20000.0,6天,江苏省-南京市-市辖区,专职店铺设计,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】动物园导视系统设计,253人,1人,1万-2万元,圆满完成,导视设计,k3019****5,只需要给每个动物区做导视牌设计，可以先做一个熊猫馆的来做参考,2021-10-05,2021.10.17,任务编号：963912,20000.0,5天,江苏省-南京市-市辖区,上海设计,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】水池喷泉设计,246人,1人,1万-2万元,圆满完成,喷泉设计,k4790****7,设计水池，安装喷头、灯光、设备等,2021-10-05,2021.10.17,任务编号：966830,20000.0,5天,江苏省-镇江市-市辖区,恩格曼艺术设计,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】街心公园喷泉设计,209人,1人,1万-2万元,圆满完成,喷泉设计,k7841****4,要彩色程控，喷头要全铜材质,2021-10-05,2021.10.18,任务编号：966054,15000.0,5天,江苏省-镇江市-市辖区,谷瑞空间营造设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】公路工程造价,382人,1人,3000-5000元,圆满完成,工程造价,k4421****6,两个乡镇之间要修一条公路，投资估算、设计概算、施工图预算等都需要,2021-10-05,2021.10.16,任务编号：966818,5000.0,5天,四川省-成都市-市辖区,赫筑餐饮空间设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】购物中心设计,304人,1人,1万-2万元,圆满完成,商业建筑,k7671****3,该购物中心位于船厂附近，想带有船工业味道的商业空间，让购物者置身于游轮上一样,2021-10-05,2021.10.20,任务编号：966233,20000.0,5天,江西省-南昌市-市辖区,室内设计、灯光设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】我需要装修设计一个复式楼梯和楼梯下面的空间,230人,1人,1000-3000元,圆满完成,复式设计,k3114****6,楼梯现状下面几步楼梯面只有20厘米，改变上楼方向加款楼梯踏步宽度。楼梯投影大约1800X3200。设计风格为轻奢风格,2021-10-05,2021.10.14,任务编号：963945,2500.0,3天,江西省-上尧市-市辖区,乔帮主设计空间,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】给校园电梯做导视设计,263人,1人,1万-2万元,圆满完成,导视设计,k2327****8,简单易懂即可，大概需要三种类型的设计，办公楼、教学楼和实验楼的,2021-10-05,2021.10.15,任务编号：963911,20000.0,7天,山东省-青岛市-市辖区,弘文尚品设计,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】儿童公园需要做导视系统设计,219人,1人,5000-10000元,圆满完成,导视设计,k2268****6,与园内景观要和谐统一，色彩鲜艳，儿童元素丰富，信息明确,2021-10-05,2021.10.15,任务编号：963913,8000.0,3天,浙江省-宁波市-市辖区,乾巢装饰设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】厂房消防工程造价,313人,1人,3000-5000元,圆满完成,工程造价,k4519****9,消防工程包含了喷淋，室内、外消火栓，应急照明、泵房水电的厂房约5900平方米,2021-10-05,2021.10.14,任务编号：966819,4000.0,3天,四川省-成都市-市辖区,k975930655,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】旱地喷泉水池上做水幕电影,458人,2人,1万-2万元,圆满完成,喷泉设计,k1935****3,要在60平方的旱地喷泉水池上做水幕电影,2021-10-05,2021.10.15,任务编号：966831,15000.0,"4天,5天","福建省-福州市-市辖区,山东省-青岛市-市辖区",k961182550,,,,,,,,,,,,,,,,,,,,,,,
【娱乐休闲】酒店公寓装修,429人,2人,1000-3000元,圆满完成,娱乐休闲,k9558****1,设计要求：1.以田园主题做一个整体的设计可以是美式，中式，日式都行，风格是极简主义系列。2.大厅的空间我想分为三个，一个是接待登记区，另一个是休闲社交区可以喝茶吃饭，还有一个是安静区。,2021-10-05,2021.10.16,任务编号：966372,2500.0,"3天,5天","四川省-成都市-市辖区,山东省-济南市-市辖区",南粤设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】房屋样板间装修设计,325人,1人,1000-3000元,圆满完成,样板间,k6371****8,户型：三室两厅，风格：现代风，高端大气，空间感要强,2021-10-05,2021.10.17,任务编号：964129,2500.0,5天,四川省-成都市-市辖区,恒瑾室内设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】排水工程量计算,209人,1人,1000-3000元,圆满完成,工程造价,k2143****6,根据室内排水图纸来做排水工程计算,2021-10-05,2021.10.18,任务编号：966820,3000.0,5天,云南省-昆明市-市辖区,坤华设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【样板间】美式装修风格样板间设计,227人,1人,1000-3000元,圆满完成,样板间,k3184****5,要具有美国西部乡村的风格特点，电视墙不要太花哨，餐厅选择圆木实木桌,2021-10-05,2021.10.17,任务编号：964130,2500.0,5天,湖南省-常德市-市辖区,雅颂设计,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建房装修设计,205人,2人,1000元以内,圆满完成,自建房,k6198****9,主卧4米*5米，客厅餐厅总长7.7米，厨房想做个隔断挡油烟，两边做酒柜，中间做推拉门采光,2021-10-05,2021.10.16,任务编号：966560,1000.0,"4天,6天","上海市-上海市-市辖区,湖北省-孝感市-市辖区",HCL林志豪设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】办公楼工程造价,493人,1人,3000-5000元,圆满完成,工程造价,k2268****7,三层办公楼，底层面积44*15=660平方，总建筑面积大约1980平方，地点在乡镇,2021-10-04,2021.10.16,任务编号：965743,4000.0,5天,上海市-上海市-市辖区,IS空间设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】求复式楼门面设计,134人,1人,1000元以内,圆满完成,复式设计,k9281****5,长9米，宽4米，3层，底层门面2楼客厅一主卧两次卧加一客房 一厨两卫,2021-10-04,2021.10.15,任务编号：963939,1000.0,5天,湖北省-孝感市-市辖区,山鸟设计（平面VI，商业空间设计）,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】小型招待所建筑工程设计,280人,1人,1000-3000元,圆满完成,商业建筑,k7614****5,南北长11米东西宽7米，门在南边靠西侧，南边东侧是窗户，楼梯在东北方位,2021-10-04,2021.10.15,任务编号：966226,3000.0,6天,江苏省-镇江市-市辖区,集简空间设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】玉石会所设计,283人,1人,1000-3000元,圆满完成,商业建筑,k6340****1,经营范围：和田玉，设计背景：经营玉器类的别墅会所，体现的出玉石的文化底蕴，背景色调可以考虑以白色或黑色为主,2021-10-04,2021.10.17,任务编号：966225,3000.0,5天,浙江省-杭州市-市辖区,麦田全案空间设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】4层楼酒店外墙翻新设计,213人,1人,1000-3000元,圆满完成,商业建筑,k3272****4,外墙翻新设计，是一家连锁酒店，所以要求的是风格一致，让人一看就知道是这个品牌的连锁酒店.。用一样的颜色进行搭配，但是在线条上不一定要完全一样，可以进行多方面尝试，设计师自由发挥，出来的效果好就可以， 要有创意，有个性。,2021-10-04,2021.10.15,任务编号：966227,2500.0,5天,上海市-上海市-市辖区,婴知道设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】火电工程主厂房建筑工程造价,259人,2人,3000-5000元,圆满完成,工程造价,k6895****8,要盖两个单层厂房，高度30米，长100米,2021-10-04,2021.10.17,任务编号：964987,4500.0,"7天,7天","广东省-汕头市-市辖区,江苏省-南京市-市辖区",木子易空间设计,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】小型音乐喷泉的设计,241人,1人,1万-2万元,圆满完成,喷泉设计,k5456****4,可以实现彩灯和喷泉随音乐的变化而变化,2021-10-04,2021.10.16,任务编号：966050,20000.0,4天,重庆市-重庆市-市辖区,k728114711,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】通信工程造价,250人,1人,3000-5000元,圆满完成,工程造价,k4932****8,预算能通过内审和外审并且在审计要求超出的范围之内,2021-10-04,2021.10.15,任务编号：964988,4500.0,6天,陕西省-西安市-市辖区,壹零壹空间设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】现代传媒中心建筑外观设计,292人,1人,1万-2万元,圆满完成,商业建筑,k7950****3,建筑面积1.5万平方，上下楼结构，要有创意，下楼3层3000平方，上楼4层1500,2021-10-04,2021.10.16,任务编号：965249,20000.0,6天,湖南省-常德市-市辖区,k427571464,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建房80平方室内装修方案,319人,1人,1000元以内,圆满完成,自建房,k1683****4,楼高七屋，现在主要装修五楼供自已住。建筑投影面积（长1275*宽810）103平方米。除去楼梯间实用面积约80平方，规划二室二厅二卫。此楼层功能主要侧重于主人居住和就餐会客。装修风格：现代简约，明快大方，整体风格清新时尚，配色合理。或适合楼型最佳设计。,2021-10-04,2021.10.13,任务编号：963319,1000.0,3天,江西省-上尧市-市辖区,k576963778,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】私家庭院喷泉设计,340人,2人,5000-10000元,圆满完成,喷泉设计,k8404****4,规则式风格，最好为几何图形，仿欧洲古典花园的,2021-10-04,2021.10.16,任务编号：965893,8000.0,"5天,6天","江苏省-南京市-市辖区,辽宁省-葫芦岛市-市辖区",设计人花爷,,,,,,,,,,,,,,,,,,,,,,,
【样板间】楼盘的样板间设计,212人,1人,1000-3000元,圆满完成,样板间,k8265****8,四室两厅，厨房想做开放式厨房，入口处次卧室想做书房，但是客人来了也能睡觉的房间，其他两个卧室朝南的房间是我女儿房间14岁，设计起来要有个性一点，另一个房间是我儿子房间1岁，设计儿童房,2021-10-04,2021.10.14,任务编号：964125,3000.0,3天,江苏省-南京市-市辖区,睿格设计工作室--3D效果图,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建房改宾馆设计,363人,1人,1000-3000元,圆满完成,自建房,k1711****0,一楼：预留酒店大堂，大堂联通电梯和步梯，电梯和步梯可通一至七楼，自由分隔成商铺，层高4米，步梯一共要有两个；二楼：架空商用，层高4米，可做饭店；三至六楼，按宾馆用途设计，房间对开,2021-10-04,2021.10.14,任务编号：963318,3000.0,5天,四川省-成都市-市辖区,集之品空间设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】四星级酒店样板间设计,393人,1人,1000-3000元,圆满完成,样板间,k7726****3,套内面积37和72平方米。37平米的是标准间，72平米的是套房。设计师可选择低调奢华和黑白灰两种设计风格,2021-10-04,2021.10.15,任务编号：964124,2500.0,5天,四川省-成都市-市辖区,威臣装饰工程设计,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】广场喷泉设计,385人,2人,2万-5万元,圆满完成,喷泉设计,k8464****3,广场上有一个长35米的长方形喷水池，喷水池的面积增加了180平方米,2021-10-04,2021.10.13,任务编号：965894,40000.0,"3天,5天","北京市-北京市-市辖区,广西省-桂林市-市辖区",k129414321,,,,,,,,,,,,,,,,,,,,,,,
【喷泉设计】需要一个园林水景喷泉设计,254人,1人,1万-2万元,圆满完成,喷泉设计,k6244****9,水深50～60厘米左右，与周围的自然环境相协调,2021-10-04,2021.10.13,任务编号：965895,20000.0,4天,广东省-汕头市-市辖区,茗晟设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】建筑工程设计,338人,1人,1000元以内,圆满完成,商业建筑,k2849****7,按照给出的结构施工图做一份算量，钢筋种类，用量,2021-10-03,2021.10.17,任务编号：965246,1000.0,6天,湖南省-常德市-市辖区,设计人花爷,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】美食广场建筑设计,594人,1人,1万-2万元,圆满完成,商业建筑,k1683****4,"美食广场改造，地点：湛江，1,000 ㎡，设计范围：内装设计、机电设计",2021-10-03,2021.10.15,任务编号：965245,20000.0,5天,湖北省-孝感市-市辖区,印刻空间设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】商业综合体设计,542人,1人,2万-5万元,圆满完成,商业建筑,k3407****4,商业项目8.5万平方，是当地首家大型综合体一站式购物中心。集合年轻潮流聚集地、多元化新鲜生活元素主张等属性。,2021-10-03,2021.10.18,任务编号：965244,50000.0,7天,江苏省-镇江市-市辖区,鹰扬设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】建筑装饰工程造价,303人,1人,3000-5000元,圆满完成,工程造价,k4882****7,要近5年承担过3项以上单位工程造价1000万元以上的装修装饰工程施工,2021-10-03,2021.10.13,任务编号：964984,5000.0,3天,山东省-潍坊市-市辖区,k173928739,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】一套商品房改成公寓酒店,189人,1人,1000元以内,圆满完成,商业建筑,k1439****0,一套商品房，要设计两套单身公寓，一个大套件，每套都要带厨房，卫生间。要帮我设计平面图跟水电布局图,2021-10-03,2021.10.15,任务编号：965247,800.0,5天,江西省-南昌市-市辖区,四维室内设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】绿化工程造价,263人,1人,3000-5000元,圆满完成,工程造价,k9732****0,面积：三万五千平米，厂区绿化工程，要求经济实惠适用,2021-10-03,2021.10.15,任务编号：964982,4500.0,5天,上海市-上海市-市辖区,睿格设计工作室--3D效果图,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】经济技术开发区户外改造工程预算,784人,1人,5000-10000元,圆满完成,工程造价,k8364****3,有一个经济技术开发区户外改造工程设计，包括门楼改造1个，新建精神堡垒2个，大型广告牌改造4个,2021-10-03,2021.10.13,任务编号：964981,8000.0,3天,上海市-上海市-市辖区,咫尺设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】钢结构厂房工程造价,512人,2人,1000-3000元,圆满完成,工程造价,k7680****6,钢结构厂房，计算工程预算,2021-10-03,2021.10.16,任务编号：964985,3000.0,"6天,6天","广东省-汕头市-市辖区,湖北省-孝感市-市辖区",k890964452,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】铁路建设工程造价,201人,1人,3000-5000元,圆满完成,工程造价,k4465****5,要求：懂得施工流程；识图，有丰富经验,2021-10-03,2021.10.14,任务编号：964983,5000.0,4天,山东省-潍坊市-市辖区,正臣工装装饰设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】要求一份装饰装修工程预算,302人,1人,1000-3000元,圆满完成,工程造价,k8953****7,"面积120m²，2室1厅1厨1卫，具体各间大小不限，但求合理,",2021-10-03,2021.10.11,任务编号：964986,3000.0,3天,陕西省-西安市-市辖区,土狼装修设计,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建房新房装修,417人,1人,1000元以内,圆满完成,自建房,k4291****5,1、地块尺寸（直角梯形状）：北面宽15.3米，南面宽19.5米，西面长22米，东面是直角梯形的斜边; 2、计划建七层半，框架结构，规划一楼做商铺，二楼架空商用可做饭店，三至六楼宾馆，七楼及以上自用，设计两套独立房，每套不低于四房两卫;,2021-10-03,2021.10.13,任务编号：963317,1000.0,3天,湖南省-常德市-市辖区,山东北川设计,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】我需要医疗美容院装修设计,255人,1人,5000-10000元,圆满完成,医疗机构,k4465****5,三层一共300平，分医美区和美容区，一楼是接待厅，二楼是美容区，三楼是医美区和医生办公室,2021-10-03,2021.10.14,任务编号：964143,8000.0,5天,青海省-西宁市-市辖区,k603206090,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】复式高端室内装修设计,475人,1人,5000-10000元,圆满完成,复式设计,k6574****6,我需要室内设计（房子是洋房一楼+负一楼）一楼开发商精装小改动一面墙移位做下软装设计就行,2021-10-02,2021.10.11,任务编号：963935,10000.0,3天,湖南省-常德市-市辖区,乔帮主设计空间,,,,,,,,,,,,,,,,,,,,,,,
【导视设计】商业园区外的导视设计,253人,1人,2万-5万元,圆满完成,导视设计,k9972****2,针对商业园区室外设计一整套很全导视系统方案，办公楼、停车场指引等,2021-10-02,2021.10.15,任务编号：963910,40000.0,7天,江苏省-镇江市-市辖区,君道空间设计,,,,,,,,,,,,,,,,,,,,,,,
【娱乐休闲】需要时尚酒店做个大厅设计,207人,1人,3000-5000元,圆满完成,娱乐休闲,k5204****6,要求如下：1.  提供整个大厅不同视角的效果图 包括灯光。2.  大厅要有景观鱼池 与地面相平 表面钢化玻璃 自行安排走向。3.  洗手间、消毒间前做遮挡物 屏风之类。4.  办公室前的隔板柜改成酒柜。5.  大厅高度3.3米。6.  设计要多功能、时尚、高端大气、现代,2021-10-02,2021.10.15,任务编号：964616,4500.0,3天,浙江省-温州市-市辖区,坤华设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】城市道路工程造价,365人,1人,1000-3000元,圆满完成,工程造价,k7267****6,红线宽度44米的城市道路工程造价,2021-10-02,2021.10.15,任务编号：964978,3000.0,4天,江西省-南昌市-市辖区,大象工程设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】水运工程造价,314人,1人,3000-5000元,圆满完成,工程造价,k4548****0,防沙堤工程，要求资质齐全，经验丰富,2021-10-02,2021.10.12,任务编号：964976,5000.0,3天,云南省-昆明市-市辖区,大王设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】园林工程造价,274人,2人,3000-5000元,圆满完成,工程造价,k4128****6,园林景观工程的成本费用预算,2021-10-02,2021.10.15,任务编号：964977,4500.0,"6天,6天","四川省-成都市-市辖区,浙江省-杭州市-市辖区",嘉品餐饮空间设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】农村小复式建筑设计,337人,1人,1000-3000元,圆满完成,复式设计,k6895****8,农村小别墅建筑设计：2.5层简约风，开间12m，进深11m。右边有房，左边间隔2-3m。一层一间卧室，一厨一厕，神龛位。二层，2次卧，一主卧带厕，一公厕，一厨房一扇大门通向后面马路，2层半一主卧带厕。,2021-10-02,2021.10.15,任务编号：963934,3000.0,6天,云南省-昆明市-市辖区,k865074339,,,,,,,,,,,,,,,,,,,,,,,
【自建房】农村自建房需要做室内设计,274人,2人,1000元以内,圆满完成,自建房,k1282****3,"总共8层，此次设计只设计第3层。建筑面积198㎡。设计风格: 喜欢现代主义、简约、温馨、明亮、实用, 符合传统风水（要写明 设计原因）；注重实用，偏重细节，不喜欢花俏、艳丽和华而不实的风格。",2021-10-02,2021.10.13,任务编号：963314,1000.0,"5天,5天","上海市-上海市-市辖区,江西省-上尧市-市辖区",北易辰设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】三层小客栈外观设计,253人,1人,1000元以内,圆满完成,商业建筑,k6093****1,求外饰多立面效果图，三楼露台请展示带顶和不带顶两个效果，要求简约、大气、美观、不俗即可，不能过于豪华。,2021-10-02,2021.10.14,任务编号：965239,1000.0,6天,安徽省-芜湖市-市辖区,俱东风文创设计,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建三层办公楼设计,148人,1人,1000元以内,圆满完成,自建房,k8176****9,设计三层办公楼（门市）的楼面和整体造型、外观、色彩等等，具体要求如下：1、楼长49米，高18米，两边延伸瓦盖有一定的空间高度，高：24米。2、一层高度：4米  二层高度：3.5米  三层高度：9米,2021-10-02,2021.10.13,任务编号：963313,1000.0,5天,江苏省-南京市-市辖区,俱东风文创设计,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建房室内装修设计,244人,2人,1000元以内,圆满完成,自建房,k8987****7,要求现代中国风，地板已铺好不用设计，客厅梁比较多，首选封梁做造形，或石膏线，吊顶也可,2021-10-02,2021.10.12,任务编号：963312,1000.0,"3天,5天","上海市-上海市-市辖区,上海市-上海市-市辖区",品阁高端设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】8平米宜家风设计样板间,169人,1人,1000元以内,圆满完成,样板间,k8458****1,风格：简约、清新、自然。墙纸要暖色调的，床头有吊灯设计,2021-10-02,2021.10.12,任务编号：964121,1000.0,6天,四川省-成都市-市辖区,天艮设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】园林绿化造价,221人,1人,3000-5000元,圆满完成,工程造价,k1921****3,小公园的绿化工作，带等高线的，公园长90m，宽50m，等高线是1.5m，场地平整后高程为25.94m，土丘最高的地方高程为30.15m，也就是说山丘有4.21m左右，只铺设草坪和灌木,2021-10-02,2021.10.16,任务编号：964773,5000.0,7天,浙江省-杭州市-市辖区,静阁空间设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】对市政类工程进行造价估算预算,361人,1人,3000-5000元,圆满完成,工程造价,k8505****3,根据市政的排水管道做污水井的工程造价,2021-10-02,2021.10.12,任务编号：964772,5000.0,3天,陕西省-西安市-市辖区,Lior力奥设计,,,,,,,,,,,,,,,,,,,,,,,
【娱乐休闲】餐饮酒店装修改造,165人,1人,1000-3000元,圆满完成,娱乐休闲,k1551****7,有一个公共休息区，合理利用原有的上下水管道,2021-10-01,2021.10.12,任务编号：963083,2500.0,3天,山西省-太原市-市辖区,壹竖设计事务所,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】整形美容医疗机构大厅装修设计,208人,2人,1000-3000元,圆满完成,医疗机构,k7614****5,一楼整层是前台接待，风格要大气一些，包括前台、等候区、休息区和活动区，等候休息区空间要大,2021-10-01,2021.10.16,任务编号：962847,2500.0,"5天,7天","江苏省-南京市-市辖区,重庆市-重庆市-市辖区",商用厨房设备设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】淋浴房样板间设计,158人,1人,1000元以内,圆满完成,样板间,k5878****1,干湿分离，带浴缸，洗手池是两个，有一定的收纳功能,2021-10-01,2021.10.14,任务编号：962846,700.0,7天,云南省-昆明市-市辖区,k999995508,,,,,,,,,,,,,,,,,,,,,,,
【医疗机构】皮肤专科医院设计,215人,3人,1000-3000元,圆满完成,医疗机构,k3019****5,问询、导诊、挂号、收费、取药在一楼，二楼是诊室和护士台，差不多要10间诊室左右,2021-10-01,2021.10.14,任务编号：962848,3000.0,"5天,5天,6天","江苏省-南京市-市辖区,贵州省-贵阳市-市辖区,陕西省-西安市-市辖区",k886170732,,,,,,,,,,,,,,,,,,,,,,,
【自建房】农村自住房二屋加梯屋，房标坐北,344人,1人,1000元以内,圆满完成,自建房,k9064****6,房标坐北向南，东西两边有房子间隔60cm，房屋设计要简单化，大气。一楼设计一厅，一卧室，一厨房，一卫生间，一楼梯间， 二楼三卧室，一厅，一卫生间，一阳台， 三楼梯间,2021-10-01,2021.10.15,任务编号：962944,1000.0,6天,浙江省-杭州市-市辖区,小木匠形象设计机构,,,,,,,,,,,,,,,,,,,,,,,
【娱乐休闲】简单的酒店客房设计,231人,3人,1000-3000元,圆满完成,娱乐休闲,k1842****7,极简风格为主，功能性家具可以适当的安置，但是视觉要满足需求,2021-10-01,2021.10.13,任务编号：963084,2000.0,"5天,5天,5天","辽宁省-沈阳市-市辖区,重庆市-沙坪坝区-市辖区,海南省-海口市-市辖区",三创设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】化工工程造价,271人,1人,3000-5000元,圆满完成,工程造价,k3786****8,需要一份石油化工工程造价预算,2021-10-01,2021.10.13,任务编号：962947,5000.0,5天,江西省-南昌市-市辖区,海佩空间设计事务所,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建房外墙装修设计,333人,1人,1000元以内,圆满完成,自建房,k8817****7,自建房五层半外墙装修，后期还会有室内的装修业务,2021-10-01,2021.10.13,任务编号：962943,1000.0,5天,江西省-上尧市-市辖区,方楞室内设计,,,,,,,,,,,,,,,,,,,,,,,
