标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【软装设计】智慧城市协同创新中心标志、形象墙、房间标识设计,https://task.epwk.com/817403/,2341人,8人,¥1200,圆满完成,软装设计,o5d5792cf674cc,（1）   中心标志：山东省智慧城市协同创新中心专注从事智慧城市前沿科技研究，中心标志设计要求符合智慧城市和科研机构特征。（2）形象墙现场如下图：（图右中的消防红色设施最好不动）（3）房间标识牌尺寸及名称：尺寸高20cm*宽50CM（亚克力材质）房间名称1、物联网与城市感知实验室2、数据科学与城市计算实验室3、城市时空大数据与仿真决策实验室  以上设计需说明尺寸、材质、颜色,2019-12-01,2019.12.19,任务编号：817403,1200.0,,,步同品牌设计,https://shop.epwk.com/09drjrw2q53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【展台展厅】乡情村史管效果图,https://task.epwk.com/812666/,3562人,11人,¥1200,圆满完成,展台展厅,story8234,制作展厅的效果图1、只需要制作大门、第一展厅及复原民宅效果图，具体说明看附件：简单说明。2、第一展厅内容参看展陈大纲第一展厅部分。3、展厅设计思路为中国复古风格，房顶不需要动，只需墙面及地面。4、充分考虑空间使用，如有好的思路，可以不必考虑大纲中写到的保留中间部分内容，房间共有2个门，一进一出，请考虑展览路线。5、可放入电子显示屏。6、中标后，将给出房间具体数据，需要可以提供施工图（另外计费）。7、目前只出展厅效果图，第一期工程展厅共4个，将邀请中标者参与之后的设计。其他事宜随时补充。,2019-11-15,2019.12.01,任务编号：812666,1200.0,,,BR设计,https://shop.epwk.com/7lngqxkw8dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】200平米办公室平面设计,https://task.epwk.com/811156/,2888人,4人,¥220,圆满完成,办公空间,jxuans,200平米办公空间装修设计。长度21.5米，宽10.9米。功能要求：要求有：总经理、财务室、开发等 6个独立办公室。前台和大公共办公区.  会客室（会议室） 也可以合在一起。,2019-11-11,2019.11.29,任务编号：811156,220.0,,,商艺DESIGN,https://shop.epwk.com/m7d7wvpgw5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【软装设计】部队院校形象墙设计,https://task.epwk.com/807923/,2485人,13人,¥360,圆满完成,软装设计,o5939****ac4bb,1、这个是某空军院校活动室背景墙设计，要求以空军蓝为主色调，体现学校特色，大气有内涵；2、背景墙上有电视和投影幕布，在美观的同时要考虑实用性；3、要有层次，最好加上灯带；4、附上学校网址，http://www.afeu.cn/web/afeu/index.html5、实景照片是之前的，要拆除重新设计。,2019-10-31,2019.11.18,任务编号：807923,360.0,,,o5be3ce7258365,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】日料店门头设计征集,https://task.epwk.com/805419/,2146人,5人,¥300,圆满完成,门头设计,优点网络科技,日料店门头设计，自有logo，要求神在型不在……logo，和实地图片，还有自己随便画的都在附件里了，自己画的自己都看不过去，越快越好，高端大气上档次还要省成本。 注意！！！！实地只有一扇门，进去是楼梯，店在二楼 门宽116厘米，高265厘米，左边是玻璃，宽242.5厘米，与门同高，可以加隔木板做形象墙 一楼上面二楼部分是全封闭包间，外侧也是门头一部分，需要一并设计,2019-10-23,2021.03.25,任务编号：805419,300.0,,,北山空间设计工作室,https://shop.epwk.com/z2nkz9212nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】室内平面设计,https://task.epwk.com/804514/,5170人,17人,¥251,圆满完成,其他家装服务,o5dabffebde4ee,"一张室内布局平面图

设计可以大胆！颠覆！最后会采用现代风格。
需求房间：主卧，次卧，女儿房，需要一个办公的地方（书房功能）
需要的特殊功能：有一台钢琴，衣帽间，化妆台，储藏室，
其他：光线充足，通透；双门冰箱；6-8人圆桌（备选长桌）；
如果原尺寸图不清晰，可以联系我发送，威信 一三八六八六三六零八六

星期一出图，谢谢",2019-10-20,2019.12.29,任务编号：804514,251.0,,,Forrestnew,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】办公布局设计,https://task.epwk.com/801461/,2173人,12人,¥100,圆满完成,办公空间,mf136****0007,办公布局设计,2019-10-11,2019.11.07,任务编号：801461,100.0,,,重心服务,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】室内装修设计图制作,https://task.epwk.com/800259/,3124人,12人,¥500,圆满完成,效果图设计,mf151****7363,1、套内面积:98平米2、风格:小美式/欧式厨房朝向客厅的墙面可以拆除。主卧不放衣柜，想把书房或其中一个卫生间改为衣帽间。最大限度利用可用空间。,2019-10-07,2019.10.25,任务编号：800259,500.0,,,正将建筑,https://shop.epwk.com/zqdplg8vkn1v/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【教育场所】幼儿园托育班设计,https://task.epwk.com/800223/,3564人,12人,¥1000,圆满完成,教育场所,Mr136****5495,幼儿园一楼开辟一间教室做托育班，主要针对18个月至36个月的孩子。现就班里面的功能划分进行改造。顶部造型不动，只改墙面以及地面。要求：1：对托育班的功能要求划分合理，科学。需要平面规划图。2：地面要求铺设塑胶，具体拼接图案没有要求，3：墙面一些部分要求用软包4：效果图两张，不同角度两张,2019-10-07,2019.10.23,任务编号：800223,1000.0,,,BR设计,https://shop.epwk.com/7lngqxkw8dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【庭院设计】别墅庭院绿化及道路设计,https://task.epwk.com/800035/,3759人,13人,¥500,圆满完成,庭院设计,o57528bfae1c0e,一，设计东面和东南面围墙。二，1号位置放置一个户外凉亭，2号位置放置假山浴池。三，其他地方自由设计道路和绿化,2019-10-06,2019.10.30,任务编号：800035,500.0,,,mf18059034128,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】办公室布局设计,https://task.epwk.com/797410/,5184人,10人,¥2400,圆满完成,办公空间,小丑鱼111,项目地点概况：项目地为办公楼办公室装修，本次设计面积：十一层：约1200平米；十二层：约1200平米；共计：约2400平米性质：办公室 二、设计诉求本次设计共计二层，综合考虑部门分区、人流动线考虑各个部门之间的衔接，以及打印区域的合理摆放合理分配两层的功能空间，方便实用公司属于国企，合理考虑动线，厕所位置为固定位置，注意避免领导区域成为必经之路 功能空间需求：（共110人左右）    工艺管道部门：40人（敞开办公室，内含2个主任、1个技术副总、2个主任工）     电仪部门：10人左右（内涵1个领导）     土建部门：15人左右（内涵1个领导）     给排水部门：10人左右（内涵1个领导）     公用工程部门：10人左右（内涵1个领导）市场部：8人（内涵1个领导）     财务部：4人（内涵1个领导），独立搭配小账单室一间     项目组：12人（内涵1个领导）     采购组：4人（内涵1个领导，独立私密设计）     资料室：20平方左右，临近设计打印室1间     备用办公室：市政、技术，各8人     人力：4人领导阶层：董事长办公室          总经理办公室          3个副总办公室（市政、生产、后勤，可考虑到临近部门员工区）          1个总助办公室服务配套空间：大型会议室1间（40-50人）               小型会议室2间（6-8人）              独立洽谈区2间（可考虑临近市场部门）              前台接待（与领导办公室、市场部在一层）              弱电机房1间              水吧台              打印装订区域 dwg文件下载链接：链接: 68747470733a2f2f70616e2e62616964752e636f6d/s/1VuVBdn1ft3T9irnxWzZMcg 提取码: uaia联系方式：15202151301  彭经理   lng@75647563642e636f6e,2019-09-25,2019.10.07,任务编号：797410,2400.0,,,友度品牌设计,https://shop.epwk.com/7g5yky8e2n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】20平一室户室内效果图设计,https://task.epwk.com/785392/,2658人,9人,¥600,圆满完成,效果图设计,o5caaba7979e5e,本公司是包租公司，在上海做市中心高端租客客户房子情况：上海老洋房（老法租界），租客为年轻人(商务人士或者外籍人士），房子的照片以及尺寸如附件所示。需求以及要求：1.此房为出租，装修预算3万包含家具（不含家电），所以设计图不能脱离造价，可以略有浮动；                             2.风格要求：只要参考LOFT.CN 以及设计之家（sj33）这两个网站上的风格，不会出错，不要用普通家装的搭配去考虑，这边北欧，日系（原木色系）都还蛮受欢迎；                             3. 需要把功能都考虑进去，单灶（做饭），小桌子（吃饭）电脑办公（现在很多白领都在家办公），会客功能（考虑客人的社交），要有储物空间（租客衣服一般不少），卫生间要有干湿分离（洗浴区未必要做玻璃房，玻璃房成本高），需要放洗衣机和冰箱。                              4.附件中有一张图是从网上找的类似20平的装修照，因为实际尺寸不知道，所以不能照搬，可以尝试这样的设计。                               5.只需要酷家乐效果图即可，尺寸要标注清楚，这样我们后期制作橱柜尺寸不会出错，不需要水电图,2019-08-21,2019.09.03,任务编号：785392,600.0,,,BR设计,https://shop.epwk.com/7lngqxkw8dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】酒厂大门设计,https://task.epwk.com/784481/,3066人,10人,¥500,圆满完成,门头设计,o5d59****4c341,公司大门设计，大门宽度为6米左右  ，公司主要是从事是世界名酒展览展示，展示名酒生产工艺流程，传播名酒文化等等。大门设计风格不限，希望使观者感受到高端与尊贵。造型上有特色突出主题，可以异形可以充分使用雕塑语言突出主题，比如浮雕圆雕装饰雕塑等等。材质最好石材 或根据造型不限。,2019-08-18,2020.01.18,任务编号：784481,500.0,,,o5c0a177457664,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【施工图设计】三房两厅装修布局设计（完善）,https://task.epwk.com/773794/,3994人,20人,¥300,圆满完成,施工图设计,o5d295d517746e,基本情况：三房二厅，居住：平时一家四口（2大2小），2个儿童房。CAD图纸中有户型的原始尺寸图和2个方案布置图。如何合理利用空间，特别是餐厅、厨房的布置。要解决走道过多，动线过多、餐厅过小的问题。结合自己的经验给出一个合理的修改方案，也可在我的方案1或方案2上修改完善好，最好另出一个更加合理的。希望高手给我完善一下平面方案，各方面细节完善好。具体如下：1、   对现有平面布置图进行检查，给出意见：方案1好还是方案2好，将布置不合理的地方更改，并做详细说明；2、   中间的儿童房如何布置，满足2人就寝，有个书桌、衣柜，避免房门对大门。 3、   觉得主卧的卫生间优化的还不够好。4、厨房、餐厅、过道重点优化，提高空间利用率。5、注意大冰箱、洗衣机的合理摆放，6、其他更好的建议。7、总之，可打可凿，给我一个更完善的装修平面布置图。（注：不要开放式厨房，附件有CAD图）,2019-07-20,2019.08.05,任务编号：773794,300.0,,,熙贤X2设计工作室,https://shop.epwk.com/7g5yk1py6n0q/,熙贤X2设计工作室,出售服务,https://shop.epwk.com/7g5yk1py6n0q/chushou/,工作室,九品,39分,,,熙贤X2设计工作室,,室内效果图制作,"￥99
            /起",,,,,,,,,,,,,,,,
【新房装修】厨房效果图设计,https://task.epwk.com/772625/,4675人,20人,¥200,圆满完成,新房装修,zhaodengji,这个户型厨房怎么设计好 ？厨房客厅之间的墙厚度为240厘米目前有两个想法。1是打开客厅厨房的墙做敞开厨房。，2是在客厅厨房之间墙的位置做2100*1800推拉门走廊处的墙做一个小窗户请设计给出具体思路。，并带上效果图 以及橱柜尺寸摆放图,2019-07-17,2020.01.29,任务编号：772625,200.0,,,天津鑫磐软件,https://shop.epwk.com/rp5z4m9m8dx3/,天津鑫磐软件,出售服务,https://shop.epwk.com/rp5z4m9m8dx3/chushou/,个人,九品,37分,,,天津鑫磐软件,,,,,,,,,,,,,,,,,,,
【效果图设计】家装效果图制作,https://task.epwk.com/772355/,2642人,12人,¥300,圆满完成,效果图设计,zhaodengji,客厅厨房一体，卫生间 卧室 三张效果图 家具不用。 需要展现吊顶，灯具 开关插座 橱柜等,2019-07-16,2019.09.13,任务编号：772355,300.0,,,42DESIGN,https://shop.epwk.com/qgdmj43mrdke/,42DESIGN,出售服务,https://shop.epwk.com/qgdmj43mrdke/chushou/,个人,九品,35分,,,42DESIGN,,,,,,,,,,,,,,,,,,,
【办公空间】请人设计一个办公室平面布置图,https://task.epwk.com/771228/,6166人,20人,¥300,圆满完成,办公空间,wolfkiss,一个装修公司的办公室，需要做平面设计布置图，原始建筑平面请下载压缩包里面的CAD文件查看，附了我自己的构想，但还是希望高手给我完善一下平面方案，平面布置图请各方面细节完善好。包括办公家私的摆放等等，尽量周全考虑。（请下载附件，CAD格式）,2019-07-13,2019.07.31,任务编号：771228,300.0,,,重庆魚畂建筑室内设计,https://shop.epwk.com/m7d7w27wk5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】幼儿园进入大厅门头设计,https://task.epwk.com/764933/,2518人,20人,¥800,圆满完成,门头设计,Mr136****5495,幼儿园门头改造设计要求：1，美观大气，有设计感2：门头寓意要体现幼儿园教育宗旨“在幸福中生长，在生长中幸福”3：幼儿园的形象---向阳花，要在门头设计中体现出来4：门头宽度6.5米，方钢到地面高度3米5：材质不限，可以先提供手绘图，再提供3D效果图，或者只提供3D效果图。,2019-06-27,2019.07.18,任务编号：764933,800.0,,,上海作品创意空间设计,https://shop.epwk.com/j7n38oo1l5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】少儿编程培训机构门头设计,https://task.epwk.com/751017/,3625人,12人,¥360,圆满完成,门头设计,Hughesaero,"VI应用内容：设计店面招牌(横排)。设计要求：1、大气、简洁、醒目；2、有视觉冲击力，醒目易识别，一看就是少儿编程教育培训公司；3、公司名称：立氪少儿编程，公司名称要简约大气，字体醒目；4、公司logo见附件图；5、招牌内容，主要是logo，需要同时做出科技感和少儿感，同时有教育机构的庄重感；6、因为是要做加盟店，每家店铺尺寸大小不一样，暂时还不能提供，请以一般店铺尺寸做下效果图；7、可更换logo颜色，主色调为蓝橙绿，整体要有科技感。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2019-05-23,2019.06.14,任务编号：751017,360.0,,,爱创空间设计,https://shop.epwk.com/3gd2myj4wner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】小型写字楼装修设计,https://task.epwk.com/742250/,2967人,9人,¥500,圆满完成,办公空间,whitey_cn,设计要求：1、简约明快的设计风格2、IT行业，可容纳20人左右的办公空间3、需要的独立空间有：经理室、财务室、会议室、库房4、公共办公空间，五个L型卡座，其它办公室1.2米长的小型办公桌,2019-05-03,2019.05.22,任务编号：742250,500.0,,,南国顶峰工作室,https://shop.epwk.com/3gd2mom3yner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】60平阳台庭院设计,https://task.epwk.com/739273/,4921人,17人,¥2000,圆满完成,新房装修,o5c4481a6d5151,1.需要把阳台设计成庭院的感觉，2.里面是室内，阳台和的阳台门的高低差太小，可看上传图片，只能做4公分的地面厚度，需在投稿时明确的文字说明所用到的材料，和它的厚度！！3.排水口和坡度方向已经尺寸图中说明，也可看其他上传图片，最高7公分，最低11公分。投稿时需明确说明排水如何做，和防水怎么做！！4.尺寸图里窗户和门的格局那些已经改了，请看上传图片的实际情况，外墙颜色的图片也是确定不改的，还有那五个灯，希望建模的时候颜色用对，另外有窗户那边的右下角是确定放洗手盆和洗衣机的5.尽量少放大植物上去，也不会直接种植物在地面，喜欢日式庭院风格，简单舒服，比较在意地面设计和地面的材料，还有灯光设计6.投稿模式已有模板，请按模板投稿需了解更多详细要求或者沟通请加微信zmk252659740 （平台提醒：一切投稿以平台任务投稿为准，如私底下通过微信交稿，未通过平台交稿则无法获得中标机会，不予特殊申请，特此告知）,2019-04-25,2019.05.17,任务编号：739273,2000.0,,,TOP设计工作室,https://shop.epwk.com/qgdmjq4wqdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺厂房】广告公司门市装修设计图,https://task.epwk.com/737939/,3647人,11人,¥1000,圆满完成,店铺厂房,o5cbc091181b03,本店为临街店铺，门市开间3.6米，长9.6米，需设计部门专用办公室。,2019-04-22,2019.05.19,任务编号：737939,1000.0,,,o5b56c26f0b31d,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【软装设计】中油国际加油站罩棚门头及加油站外立面形象墙设计,https://task.epwk.com/731549/,5506人,15人,¥1000,圆满完成,软装设计,o5ca89956a6222,中油国际加油站罩棚门头及加油站外立面形象墙设计，2张图。1罩棚门口一般宽度1.5米*30米，设计整体视觉。2形象墙里面一般是房屋外立面风格，包括一个整块形象墙。3设计风格要求符合《中油国际》定位，高端大气，极简国际范。4中标后可考虑整个vi设计。2油品从海洋上运输来。,2019-04-07,2019.09.28,任务编号：731549,1000.0,,,xiuye,https://shop.epwk.com/3gd2my67wner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【庭院设计】庭院设计,https://task.epwk.com/730671/,7138人,21人,¥1920,圆满完成,庭院设计,ssdixiaoz,根据总体平面图。对前庭后院以及前面空地设计尺寸见附件,2019-04-04,2019.05.01,任务编号：730671,1920.0,,,大象设计,https://shop.epwk.com/z2nkz9oqxnqy/,大象设计,出售服务,https://shop.epwk.com/z2nkz9oqxnqy/chushou/,工作室,七品,36分,,,大象设计,,,,,,,,,,,,,,,,,,,
【庭院设计】50平米露台装修方案征集,https://task.epwk.com/728063/,3928人,6人,¥500,圆满完成,庭院设计,o5c9cce7ceb81f,50平米露台，装修方案征集。露台宽4.8米，长10米。客厅及主卧外是一条1.2米宽的过道。过道外是40厘米高，20厘米宽的小护栏。护栏外就是露台。 露台向外延伸4.8米。左右延伸10米。4.8米外是铁栏杆隔断，隔断到1.8米高后，继续向水平方向延伸2米。 露台左右两边，是其他家的露台，没有隔断。现在露台整体种植了绿色草皮，各家种植了一些树木。 露台是在沿街的商店顶上。预铺了土层，土层有30-40cm。装修要求：1. 从客厅大落地窗，期望有比较明显的绿树和花的景观。 2. 物业要求，不要有搭建和瓷砖等建设，尽量保持从高空往下看时，绿草和绿树一体的整体感觉。3. 家有3岁小朋友，可以考虑小朋友的使用。4. 露台现居中种植有1.8米高三角梅三株，可以考虑移到其他地方，或是移除。,2019-03-29,2019.04.13,任务编号：728063,500.0,,,∂雅韵江南设计工作室,https://shop.epwk.com/78dljeo8e5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】阳台微缩园林景观设计（只要效果图即可）,https://task.epwk.com/721806/,4956人,9人,¥100,圆满完成,新房装修,mf156****6395,阳台微缩园林景观设计。现有阳台尺寸为1.2米x4米，想设计成中式园林景观风格的微缩景观，要有鱼池，山水，植物，小桥流水等，类似于苏州园林的感觉 。（只要效果图即可）,2019-03-14,2019.04.03,任务编号：721806,100.0,,,云水禅心设计小作坊,https://shop.epwk.com/0z5o49oy8njq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他公装设计】现代大型休闲农场整体规划图,https://task.epwk.com/721531/,3275人,7人,¥500,圆满完成,其他公装设计,o5c89da718d9c3,打造现代化的家庭式休闲农场风格：欧美面积：1000至1500亩采摘园：草莓园、苹果园、葡萄园、南瓜园等等配套设施：能够展现各种农产品的超市、儿童游乐区域、大片的公共游戏区、停车场、小动物区等等总体要求：具有自己鲜明的特色、浓重的欧美风情、主要以顾客体验为主,2019-03-14,2019.06.03,任务编号：721531,500.0,,,凯隆出品,https://shop.epwk.com/2j5xo8lzk5xm/,凯隆出品,出售服务,https://shop.epwk.com/2j5xo8lzk5xm/chushou/,工作室,九品,39分,,,凯隆出品,,,,,,,,,,,,,,,,,,,
【店铺厂房】设计一个架子鼓教室的店面大厅,https://task.epwk.com/717012/,2819人,7人,¥500,圆满完成,店铺厂房,o5c4481a6d5151,以酷一点的工业风为主只需设计大厅即可，尺寸算上墙厚是5700*6400mm，高4.4米只需发效果图即可，需要导出3个角度看得见全部的设计效果大厅里想要一个小舞台（能放下一套鼓），一个沙发区，一个小吧台图片里面的大正方的洞是想做成玻璃的，那个墙的上面想把Logo放上去文件里有一些实际情况的图片，如有不懂请联系我,2019-03-04,2019.03.20,任务编号：717012,500.0,,,TOP设计工作室,https://shop.epwk.com/qgdmjq4wqdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【商业空间】超市装修（陈列）设计,https://task.epwk.com/716229/,4069人,8人,¥1000,圆满完成,商业空间,o5c75****92ad1,超市装修设计1、中间区域装修不改动2、在小改动的前提下，修改两侧区域顶部灯光效果，配合中间区域3、整体布局陈列效果，参照OLE等网红超市的设计4、设计收银台，要求高度880mm，色系以黄色、白色为主。5、不需要重新装修，主要是陈列设计6、外部灯光设计，让店外晚上光照充足,2019-03-01,2019.03.14,任务编号：716229,1000.0,,,52Hz工作室,https://shop.epwk.com/z2nkz9eqpnqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【展台展厅】48平米简单展厅设计,https://task.epwk.com/714960/,3215人,11人,¥500,圆满完成,展台展厅,story8234,公司针对高端客户的产品展厅宽6.6米 长7.2米 门在7.2米那面2面玻璃 1面有窗 准备打石膏板做成4面全封闭 顶不用设计可以按6.6米×7.2米的一个开间设计 （附图中所有物品会搬出） 中间位置可设计一面形象墙 放公司LOGO及公司简介 附件：微信图片_20190226233028 办公桌后边那面墙体上准备放一台电视 公司是做军工产品的科技公司 展厅整体色调及设计要求符合科技公司气质 有现代感 展厅内放展柜 配合灯光效果展示产品 整体需简洁 大气 庄重,2019-02-26,2019.03.22,任务编号：714960,500.0,,,海旭设计,https://shop.epwk.com/09drjr2g653w/,海旭设计,出售服务,https://shop.epwk.com/09drjr2g653w/chushou/,个人,二品,50分,,,海旭设计,,室内设计（公寓）,价格面议,室内外装饰设计,价格面议,LOGO设计,价格面议,,,,,,,,,,,,
【软装设计】公司入口形象墙设计,https://task.epwk.com/713726/,3323人,35人,¥300,圆满完成,软装设计,miao21cn,"公司全称:温州一顶装饰工程有限公司
要求:将图二的内容排版在图一形象墙上，LOGO可要可不要，一顶装饰可换成公司全称，可横排可竖排，尽情发挥你们的想象，追求简洁大方个性",2019-02-23,2019.03.10,任务编号：713726,300.0,,,zsc325800,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【门头设计】房地产门店门头设计,https://task.epwk.com/711790/,2423人,6人,¥300,圆满完成,门头设计,鉴恪信息,"VI应用内容：设计店面招牌(横排)。                                    设计要求：                                                                            1、大气、简洁、醒目；                                            2、有视觉冲击力，醒目易识别，一看就是房地产公司；3、公司名称：***地产，公司名称要简约大气，字体醒目；                                            4、公司没有logo，有注册好的文字商标见附件图；                                            5、招牌内容，文字商标，然后旁边或者下方+***地产；6、因为是要做加盟店，每家店铺尺寸大小不一样，暂时还不能提供，请以一般店铺尺寸做下效果图；                                                    知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2019-02-18,2019.03.20,任务编号：711790,300.0,,,爱创空间设计,https://shop.epwk.com/3gd2myj4wner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】住宅楼外立面效果图设计方案设计,https://task.epwk.com/711414/,2535人,7人,¥600,圆满完成,效果图设计,o5c67acca40081,取 100平方米户型的标准层做立面效果图用1、立面设计方案应符合平面设计要求； 2、方案应包括建筑勒脚、入户大堂、墙身线条等； 3、立面效果图设计应体现现代风格； 4、住宅楼共十八层，每层层高是2.95米； 5、立面要美观、大气、新颖，材料以真实漆为主。,2019-02-16,2019.03.15,任务编号：711414,600.0,,,云水禅心设计小作坊,https://shop.epwk.com/0z5o49oy8njq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】办公室设计,https://task.epwk.com/709926/,2970人,13人,¥500,圆满完成,办公空间,wtowto4500,棚高2850背景墙文字：祥盛基金工位16个  经理办公室一个   接待室两个  鱼缸一个 两个门全开  稍大的门对着形象墙隔断最好不要全部是玻璃隔断,2019-02-12,2019.02.24,任务编号：709926,500.0,,,ch5511,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他建筑设计】遵义市播州区“全民健身中心”创意形象 设计征集,https://task.epwk.com/704541/,7344人,9人,¥16000,圆满完成,其他建筑设计,gzzyxtsg,"按照上传资料要求绘图.设计要求：该项目地处播州区县城山地公园“象山公园”东山脚的山湾处，山形秀丽、四季常青,并与县城主城区紧紧相连。该设计要求一是与象山公园整体协调、自然、亲切、不突兀，既要有地域特色，又要能直观体现健身特性，简洁大气，主题鲜明，具有地标性。该中心建筑高15米，共三层，建筑立面设计以三面为主（前边、右边、后边）。",2019-01-18,2019.03.11,任务编号：704541,16000.0,,,中道建筑景观设计,https://shop.epwk.com/omdwk27rxdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【庭院设计】农村庭院设计,https://task.epwk.com/700070/,3387人,23人,¥500,圆满完成,庭院设计,o5c308f38a74cb,现在农村修了一别墅，用于周末回乡休闲及以后父母养老，请专业人士设计一下庭院。要求：1、简单休闲2、要有一个木廊（玻璃盖顶）3、一小块菜地。4、最好把围墙和大门一起设计出来，大门只是人员进出，车辆直接由公路开进车库。,2019-01-05,2019.01.24,任务编号：700070,500.0,,,八月Design,https://shop.epwk.com/7g5ykwlygn0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】客餐厅平面布局设计,https://task.epwk.com/699198/,6507人,19人,¥200,圆满完成,新房装修,o5c204789ed297,买的二手房，准备客厅电视墙打掉，厨房的橱柜重做（想装洗碗机），其他不打算做大改动。户型最大的痛点是没有玄关和客餐厅的收纳严重不足，请高手针这两点进行设计，希望尽量不要影响客厅的通透感。设计稿请附说明和尺寸标注。,2019-01-03,2019.01.30,任务编号：699198,200.0,,,堯 . 建筑公社,https://shop.epwk.com/omdwkmwzrdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】企业前台效果图设计,https://task.epwk.com/697293/,1712人,6人,¥300,圆满完成,效果图设计,陕西美雀装饰,吧台及形象墙造型设计，1公司性质为畜牧型农业企业，兼顾环保与科技理念。2除企业logo外，其他不做硬性要求。3效果图需要将企业吧台的现有环境背景植入。4我们可以为您提供logo的草图大师格式。,2018-12-27,2019.01.04,任务编号：697293,300.0,,,威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/,威创设计工作室,出售服务,https://shop.epwk.com/7g5ykxvx2n0q/chushou/,工作室,四品,74分,,,威创设计工作室,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,工装设计：办公区,价格面议,,,,,,
