标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【活动策划】医院活动策划方案,https://task.epwk.com/941707/,1109人,1人,1000元以内,圆满完成,k2466****95,项目：医院活动策划方案称呼:叶女士地区:需求:医院科普比赛每人5分钟，需要比赛形式的创意文案  预算:评估报价,2021-06-28,2021.07.21,任务编号：941707,300.0,3天,吉林省-长春市-宽城区,96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,活动策划
【品牌策划】手撕兔品牌文案撰写,https://task.epwk.com/935466/,1679人,3人,1000-3000元,圆满完成,ljq834188,一.  项目定位      1.项目案名（除品牌名以外的分类案名）      2.项目形象定位      3.目标客户群体定位二.广告推广主题      1.广告语方案      2.系列推广主题      3.诉求内容三.广告风格拟定      1.诉求方式      2.平面风格      3.广告文案风格四.招商手册       1.公司企业文化       2.项目介绍       3.加盟政策五.平面广告       1.阶段主题广告语       2.广告文案       3.电视广告创意和参与脚本讨论（协助）,2021-05-19,2021.07.04,任务编号：935466,1750.0,"5天,5天,5天","吉林省-长春市-宽城区,广东省-深圳市,山东省-济南市-槐荫区",96元创商业文案策划,https://shop.epwk.com/omdwkmv2xdrp/,96元创商业文案策划,出售服务,https://shop.epwk.com/omdwkmv2xdrp/chushou/,企业,四品,42分,,,96元创商业文案策划,,品牌战略营销,"￥6000
            /起",商业计划书,"￥1500
            /起",品牌文案策划,"￥500
            /起",,,,,,,,,,,,,品牌策划
【整合营销】找长期合作的团队,https://task.epwk.com/934094/,687人,1人,1000元以内,圆满完成,o609946c85c9ca,1.朋友圈转发    2.群发助手群发200个好友发送的内容：图片+文字   见附件   广告文字:国粹易经风水命理师主要批八字命理，看婚姻感情、财运事业、官运、学业等反馈准确度高，积累了大量缘主，老师是有偿服务，解答也非常有耐心，而且全程微信语音电话或视频电话，不用语言条，不发文档，也可线下来堂口看，有有需要的可以加老师微信155372766551、一个威客ID不限投稿次数，上不封顶！2、请勿造P图假一律不通过审核：1、朋友圈设置所有人可见，该条朋友圈必须对所有好友可见。2、朋友圈至少保留24小时（交稿的图片需要显示是24小时之前发布的，如未满时间就提交截图交稿则无效）。3、每个微信账号只能参与一次，可以不同的微信号。微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核;4、转发内容为文字+图片！文字内容和 图片必须全部转发出去，每稿都要有！5、朋友圈内容截图需显示完整，包括配图文字，所有截图最上面需显示手机上面的时间。6、使用同一数字 字母组合的微信号，营销号进行批量推广的判定为无效号，也会淘汰，只需求个人微信号，感谢理解！提交任务的时候请上传四张截图：第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图，好友人数需大于200人。第三张是您转发至朋友圈24小时后截图。第四群发截图！！,2021-05-12,2021.05.13,任务编号：934094,500.0,1天,四川省-成都市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",整合营销
【活动策划】我想策划一个探秘视频的活动,https://task.epwk.com/933965/,542人,2人,1000-3000元,圆满完成,k6768****37,项目:我想策划一个探秘视频的活动按照谈好的合作，勿扰,2021-05-11,2021.05.18,任务编号：933965,1000.0,"5天,5天","山东省-济南市-槐荫区,吉林省-长春市-宽城区",阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【产品推广】箱包类产品关键词搜索，软文推广,https://task.epwk.com/929882/,1277人,3人,1000-3000元,圆满完成,大众推广ABCD,女士箱包类产品百度，知乎，360等词条搜索，简单消费者问答，软文推广。,2021-04-16,2021.05.06,任务编号：929882,2200.0,"15天,5天","山东省-济南市,山东省-青岛市",阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【产品推广】餐饮餐车连锁项目品牌全网推广,https://task.epwk.com/929862/,1051人,3人,5000-10000元,圆满完成,o6057ee63220cf,餐见餐饮的【早晚食刻】是全新的（早餐+夜市）模式餐车项目全套的VI已经设计了，现在需要全网推广宣传。建立宣传矩阵：公司官网；微信公众号；微博；抖音号；百度百科、问答、论坛；部分推广软文。 周期：20-30天；预算：5000-10000元（可根据方案提高）。 请提供：案例，方案，报价及周期。谢谢,2021-04-15,2021.05.13,任务编号：929862,7000.0,"7天,5天","山东省-济南市-槐荫区,山东省-青岛市",阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【整合营销】石家庄滑索设备市场调查营销方案撰写,https://task.epwk.com/927930/,1211人,3人,1000-3000元,圆满完成,o606b0b1f7e5fc,我想在石家庄市区建一套几百米的滑索设备，需要一份文档，包括产品运营和市场调查等等，用来向自己的朋友介绍，拉他们投资一起做。,2021-04-05,2021.04.17,任务编号：927930,600.0,5天,山东省-青岛市,阿瑞营销推广工作室,https://shop.epwk.com/4rn8qrw89ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合营销
【整合营销】手游公司营销策划与推广,https://task.epwk.com/917243/,817人,1人,1万-2万元,圆满完成,k5267****96,项目:手游公司营销策划与推广称呼:郭先生地区:河北邢台需求:公司是做手游平台的，营销策划与推广，需要前期了解下价格和服务，顺便看看策划的素质预算:联系报价 注意：手机号是微信,2021-01-25,2021.02.06,任务编号：917243,12800.0,10天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",整合营销
【品牌策划】手机维修品牌文案撰写以及PPT制作,https://task.epwk.com/890420/,1491人,8人,1000-3000元,圆满完成,o5eff17ed01dfb,"此ppt面向：客户群体、加盟商，目的是提升品牌形象广告语：品牌名：重点服务区域、客户群体：中高端社区、综合商超、中高端手机客户服务内容：手机全类维修，各类电子产品新机订购，二手回收，服务方式：到店现场维修、上门维修、寄修我们的优势；芯片级高级工程师全天候驻场，现场维修，即修即取，专业、返修率低，一对一专业现场服务，无隐私顾虑。配件齐全 有质量保障的渠道。新机订购质量有保障，价格更低。顾客至上。需要编辑撰写以下：如果有有必要添加上但我没有想到的向我提出并完善品牌故事品牌简介品牌理念品牌愿景需要有一定的文案功底，同时也要有PPT功底，熟悉手机维修行业更好。（需要有自己的构思，我只想到这么多，需要其他资料向我索取""LOGO 广告语 品牌名加微信。另外有什么可以提升品牌形象的内容适应性加在pptppt源文件需要交付，包括素材等""",2020-09-05,2020.09.30,任务编号：890420,1000.0,"4天,5天,7天,3天,3天,4天","陕西省-西安市,天津市-市辖区-和平区,山东省-青岛市,北京市-北京市-朝阳区,天津市-天津市-河东区,广东省-深圳市",鼎臻幻屏品牌设计,https://shop.epwk.com/4rn8qj3vwngm/,鼎臻幻屏品牌设计,出售服务,https://shop.epwk.com/4rn8qj3vwngm/chushou/,企业,五品,39分,,,鼎臻幻屏品牌设计,,LOGO设计,"￥499
            /起",文案策划,价格面议,PPT设计,"￥180
            /起",画册设计,"￥200
            /起",H5设计,"￥500
            /起",海报设计,"￥200
            /起",VI设计,"￥3499
            /套",包装设计,"￥998
            /套",,,品牌策划
【关键词优化】百度关键词搜索优化,https://task.epwk.com/881307/,3523人,4人,5000-10000元,圆满完成,geebest,提升网站关键词流量，排名,2020-07-29,2021.07.09,任务编号：881307,6800.0,"15天,7天,15天","北京市-北京市,山东省-青岛市,湖南省-湘潭市-岳塘区",千海视觉-移动互联网高端定制视觉设计服务商,https://shop.epwk.com/7g5ykyxg9n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【整合营销】健身会所营销文案,https://task.epwk.com/875095/,1498人,1人,1000-3000元,圆满完成,o5ef1d7bd98d1f,项目:健身会所营销文案称呼:李先生地区:山东烟台需求: 健身会所营销，具体需详谈。,2020-07-03,2021.01.14,任务编号：875095,1000.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",整合营销
【整合营销】健身会所营销策划文案,https://task.epwk.com/872923/,1357人,1人,1000-3000元,圆满完成,o5ef1d7bd98d1f,项目:健身会所营销文案称呼:李先生地区:山东烟台需求: 健身会所营销，具体需详谈。,2020-06-24,2020.06.25,任务编号：872923,1500.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",整合营销
【微信代运营】公众号新媒体运营,https://task.epwk.com/865039/,1052人,1人,1000元以内,圆满完成,vitorru,公众号运营推广，已经沟通好,2020-05-27,2020.05.27,任务编号：865039,150.0,2天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",微信代运营
【网站优化方案】网站seo优化,https://task.epwk.com/850423/,905人,1人,1000-3000元,圆满完成,o5e8aa93514c6a,域名年龄一年多的网站有40多个页面，只收录了6个，想找seo优化，能多收录一些页面。起码能收录30多个。,2020-04-06,2020.04.11,任务编号：850423,1000.0,30天,河北省-保定市-新市区,张影工作室,https://shop.epwk.com/09drjvmjl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【活动策划】中国移动的短视频大赛方案第一期,https://task.epwk.com/843452/,393人,1人,1000-3000元,圆满完成,k7619****19,需求:做一个中国移动的短视频大赛，项目比较急，希望可以尽快做出来，价格好谈,2020-03-12,2020.03.13,任务编号：843452,1000.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",活动策划
【活动策划】小型珠宝店,https://task.epwk.com/837205/,1361人,1人,1000-3000元,圆满完成,o5e4cbe6da0896,正在筹备开业，需要营销活动策划,2020-02-19,2020.03.09,任务编号：837205,1000.0,10天,广东省-深圳市,映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,67分,,,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,,,,,,,,,,,,活动策划
【产品推广】平台推广营销推广,https://task.epwk.com/836969/,688人,3人,1000元以内,圆满完成,o5e4b6f4cbb1ac,平台推广新媒体运营，客户流量,2020-02-18,2020.02.21,任务编号：836969,600.0,"2天,10天,30天","四川省-成都市,山东省-青岛市,云南省-昆明市",腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",产品推广
【微信推广】产品推广营销,https://task.epwk.com/835459/,691人,1人,1000元以内,圆满完成,ltsjfykj,已谈好 合作愉快,2020-02-11,2020.02.11,任务编号：835459,250.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",微信推广
【关键词优化】需要做定制礼品的外贸网站,https://task.epwk.com/828077/,1272人,3人,3000-5000元,圆满完成,od3yxpfvr9owz3,做和总公司现有网站一样的网站，需要有后台、可更新，不是克隆或仿站,2020-01-03,2020.01.14,任务编号：828077,4500.0,"15天,15天","北京市-北京市,江苏省-常州市-武进区",东晋网络,https://shop.epwk.com/p05qj7lqydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【整合营销】一种民用小场所的消防产品，想做一波推广,https://task.epwk.com/818658/,1157人,2人,1000-3000元,圆满完成,ty750****,一种民用小场所的消防产品，想做一波推广。具体得详谈了，这里一言两语说不清楚！,2019-12-04,2020.02.19,任务编号：818658,1000.0,"8天,3天","重庆市-市辖区-南岸区,山东省-济南市",拙朴品牌营销,https://shop.epwk.com/3gd2mokwener/,拙朴品牌营销,出售服务,https://shop.epwk.com/3gd2mokwener/chushou/,企业,四品,40分,,,拙朴品牌营销,,LOGO设计VI品牌形象标志设计,"￥398
            /起",公司活动策划年会招商会订货会答谢会开业活动营销促销活动周年庆,"￥500
            /起",画册设计宣传册折页传单设计DM单封面,"￥128
            /页",商业计划书招商创业融资计划书路演PPT项目书商业策划融资BP,"￥1999
            /起",海报设计创意海报主背景主图详情页,"￥199
            /起",微信代运营微信公众号代运营微信爆文推广微信文案撰写广告语代写微信推文品牌故事电商文案,"￥999
            /起",PPT设计定制策划制作美化润色企业公司代做商业幻灯片公司宣传册,"￥99
            /起",包装设计 外观设计 礼盒设计,"￥598
            /起",,,整合营销
【网站优化方案】优化网站关键词推广,https://task.epwk.com/818615/,1351人,5人,1000-3000元,圆满完成,o5c9868b842fd4,优化网站，做桂花树苗这一块儿的，主要是优化关键词，关键词要排名靠前，排名定期更新具体详谈微信联系,2019-12-04,2020.03.04,任务编号：818615,1000.0,"30天,60天,10天,15天","湖南省-湘潭市,上海市-市辖区-浦东新区,江苏省-无锡市-滨湖区,山东省-青岛市-李沧区",磐石网络,https://shop.epwk.com/qgdmj4p8rdke/,磐石网络,出售服务,https://shop.epwk.com/qgdmj4p8rdke/chushou/,企业,七品,40分,,,磐石网络,,SEO网站优化百度关键词排名,"￥200
            /起",,,,,,,,,,,,,,,,,网站优化方案
【活动策划】店铺开业活动策划,https://task.epwk.com/817499/,1375人,5人,1000-3000元,圆满完成,o5d9ade3b8e7b0,理发店想拓展客流，进行策划,2019-12-01,2019.12.04,任务编号：817499,1659.0,"5天,7天,5天,3天,5天","重庆市-市辖区-南岸区,四川省-成都市,广东省-深圳市-宝安区,广东省-深圳市,贵州省-贵阳市-云岩区",拙朴品牌营销,https://shop.epwk.com/3gd2mokwener/,拙朴品牌营销,出售服务,https://shop.epwk.com/3gd2mokwener/chushou/,企业,四品,40分,,,拙朴品牌营销,,LOGO设计VI品牌形象标志设计,"￥398
            /起",公司活动策划年会招商会订货会答谢会开业活动营销促销活动周年庆,"￥500
            /起",画册设计宣传册折页传单设计DM单封面,"￥128
            /页",商业计划书招商创业融资计划书路演PPT项目书商业策划融资BP,"￥1999
            /起",海报设计创意海报主背景主图详情页,"￥199
            /起",微信代运营微信公众号代运营微信爆文推广微信文案撰写广告语代写微信推文品牌故事电商文案,"￥999
            /起",PPT设计定制策划制作美化润色企业公司代做商业幻灯片公司宣传册,"￥99
            /起",包装设计 外观设计 礼盒设计,"￥598
            /起",,,活动策划
【品牌策划】宣传文案策划，修改,https://task.epwk.com/811790/,962人,1人,1000元以内,圆满完成,北京道安科技,根据PP资料修改润色服务,2019-11-12,2019.11.20,任务编号：811790,500.0,5天,广东省-深圳市-福田区,美邦视觉,https://shop.epwk.com/z2nkz989xnqy/,美邦视觉,出售服务,https://shop.epwk.com/z2nkz989xnqy/chushou/,企业,七品,38分,,,美邦视觉,,LOGO设计 商标优化 品牌商标全案 原创LOGO,"￥999
            /起",企业宣传册设计／企业文化宣传手册／画册设计／宣传品设计,"￥200
            /起",企业VI系统设计／vis企业形象设计,"￥15000
            /起",施工动画（桥梁/隧道/房屋建筑）,"￥999
            /起",VI设计 快消品/学校/医院/服装/奢侈品/工程/互联网/科技/ 金融/地产/餐饮/娱乐,"￥3000
            /起",舞美设计/3D建模/氛围包装,"￥5000
            /起",空间设计/外观设计,"￥5000
            /起",空间设计(SI设计、外观设计、美陈设计）,"￥5000
            /起",品牌策划 快消品/学校/医院/服装/奢侈品/工程/互联网/科技/ 金融/地产/餐饮/娱乐 文案策划,"￥3000
            /起",品牌策划
【关键词优化】网站百度关键词优化,https://task.epwk.com/805063/,1679人,3人,1000元以内,圆满完成,dullboy,要求有互联网推广经验。不仅有提高网站流量，权重， 关键词排名等等的经验，更重要的是有负责任的心态和工作方式，具体表现形式我们觉得最重要的就是有确定的目标，不能是单纯就抱着完成一定的工作量的心态。有兴趣且愿意迎接挑战的请跟我们联系，谢谢。,2019-10-22,2019.12.02,任务编号：805063,400.0,"90天,1天","湖南省-湘潭市,湖南省-常德市-武陵区",磐石网络,https://shop.epwk.com/qgdmj4p8rdke/,磐石网络,出售服务,https://shop.epwk.com/qgdmj4p8rdke/chushou/,企业,七品,40分,,,磐石网络,,SEO网站优化百度关键词排名,"￥200
            /起",,,,,,,,,,,,,,,,,关键词优化
【活动策划】装修公司活动策划,https://task.epwk.com/801726/,947人,1人,1000元以内,圆满完成,k7808****19,蒋先生  策划文案 装修公司跟售楼部合作做一场宣传样板房的活动，不要带有商业性质,2019-10-11,2019.10.11,任务编号：801726,500.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",活动策划
【活动策划】室内设计师落地演讲活动策划,https://task.epwk.com/800832/,1693人,3人,1000-3000元,圆满完成,o5d9d6c75b4c47,行业知名室内设计师全国巡讲计划，观众大多同样为室内设计师，目前需要进行落地活动具体流程、内容活动策划工作。活动重点落在邀约演讲设计师嘉宾，同时提升观众设计师对于本次活动的参与感与认知。,2019-10-09,2019.11.26,任务编号：800832,2500.0,"6天,5天","广东省-深圳市,山东省-青岛市",映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,67分,,,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,,,,,,,,,,,,活动策划
【整合营销】儿童运动营销策划,https://task.epwk.com/800696/,718人,1人,1000元以内,圆满完成,k3071****52,姓名：田先生  天津行业：儿童运动需求：营销策划，针对店铺开业活动和日常营销推广销售方案（需要了解按年合作和单次合作的报价）工期：根据沟通预算：根据沟通注意：不限地域,2019-10-09,2019.12.16,任务编号：800696,800.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",整合营销
