标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link
【自建房】农村自建别墅,https://task.epwk.com/963303/,1523人,1人,¥50000,圆满完成,雇佣,k2049****6,200平已申请盖房专用地，带院子的两层半小洋房，六室8卫2厅一厨,2021.10.10,2021.10.20,任务编号：963303,￥50000,5天,江苏省-盐城市-市辖区,k467718740,https://task.epwk.com/javascript:;
【医疗机构】医疗器械门店装修风格设计,https://task.epwk.com/964138/,200人,1人,¥2000,圆满完成,雇佣,k4115****3,主营中老年人各类辅助类医疗器械，需要做整体的门店风格设计,2021.10.10,2021.10.21,任务编号：964138,￥2000,3天,山西省-太原市-市辖区,骏邦设计,https://task.epwk.com/javascript:;
,,,,,,,,,,,,,,,,
【舞台设计】室外舞台设,https://task.epwk.com/967246/,272人,1人,¥3000,圆满完成,雇佣,k4548****0,一个合唱比赛，中间有石梯当合唱舞台，梯子后面会立一个LED屏幕，和树等高,2021.10.09,2021.10.21,任务编号：967246,￥3000,5天,江苏省-南京市-市辖区,天异视觉设计,https://task.epwk.com/javascript:;
【自建房】自建度假屋,https://task.epwk.com/966565/,325人,1人,¥20000,圆满完成,雇佣,k1434****6,在山里自己一个用于度假木屋，两房两卫，一厨一厅，详情细聊,2021.10.09,2021.10.18,任务编号：966565,￥20000,3天,吉林省-通化市-市辖区,雅颂设计,https://task.epwk.com/javascript:;
【医疗机构】月子中心室内软装设计,https://task.epwk.com/966853/,341人,1人,¥8000,圆满完成,雇佣,k4480****1,新的月子中心（独栋别墅），目前处于室内装修阶段，需要制作室内软装设计方案、效果图,2021.10.09,2021.10.18,任务编号：966853,￥8000,3天,江西省-南昌市-市辖区,瀚蓝设计,https://task.epwk.com/javascript:;
【医疗机构】疗养院接待厅装修设计,https://task.epwk.com/966851/,241人,1人,¥5000,圆满完成,雇佣,k1060****1,疗养院客人接待厅，主要是用于老人和家属做服务咨询使用的，需要让客户一来就有回家的感觉,2021.10.08,2021.10.20,任务编号：966851,￥5000,5天,四川省-成都市-市辖区,新简筑设计,https://task.epwk.com/javascript:;
【舞台设计】求表演晚会的舞台设计,https://task.epwk.com/967241/,181人,1人,¥1000,圆满完成,雇佣,k6758****8,是一场武术表演晚会，需要舞台设计方案和灯光效果设计,2021.10.08,2021.10.18,任务编号：967241,￥1000,4天,内蒙古-包头市-市辖区,咫尺设计,https://task.epwk.com/javascript:;
【喷泉设计】要设计家庭喷泉水景,https://task.epwk.com/966846/,311人,1人,¥5000,圆满完成,雇佣,k8530****3,喷泉里相放荷花，假山上可以种上草等植物,2021.10.08,2021.10.20,任务编号：966846,￥5000,5天,江苏省-镇江市-市辖区,集简空间设计,https://task.epwk.com/javascript:;
【复式设计】86平小户型复式装修设计,https://task.epwk.com/967079/,326人,1人,¥8000,圆满完成,雇佣,k7526****7,86平小户型复式，准备进行装修设计，要求：最好有类似案例的,2021.10.08,2021.10.21,任务编号：967079,￥8000,5天,广东省-汕头市-市辖区,k129414321,https://task.epwk.com/javascript:;
【喷泉设计】庭院小喷泉设计,https://task.epwk.com/966839/,169人,1人,¥5000,圆满完成,雇佣,k6574****6,想在庭院中设计两小水池相互回流水系，两个水池大概60平方左右,2021.10.07,2021.10.20,任务编号：966839,￥5000,5天,贵州省-贵阳市-市辖区,银翼效果图设计表现,https://task.epwk.com/javascript:;
【喷泉设计】鱼池中间设计个小喷泉,https://task.epwk.com/966838/,256人,1人,¥8000,圆满完成,雇佣,k9765****7,我想在院子里建一个小鱼池中间设计个小喷泉，鱼池周围栽花,2021.10.07,2021.10.17,任务编号：966838,￥8000,5天,广东省-广州市-市辖区,盛合设计,https://task.epwk.com/javascript:;
【商业建筑】特色餐厅设计,https://task.epwk.com/966240/,320人,1人,¥2000,圆满完成,雇佣,k3526****3,面积：121，餐厅是阿拉伯.摩洛哥风格。门头可以做立体的也可以做平面的也可以做镂空造型。夜间也要显目，吸引眼球。自由发挥。,2021.10.07,2021.10.18,任务编号：966240,￥2000,5天,山东省-潍坊市-市辖区,东舍室内设计,https://task.epwk.com/javascript:;
【舞台设计】幼儿园文艺活动舞台设计,https://task.epwk.com/963960/,219人,1人,¥2000,圆满完成,雇佣,k9095****8,幼儿园近期有个文艺汇演活动，需要一个舞台设计，要有LED屏幕的，童趣风格的装饰,2021.10.07,2021.10.20,任务编号：963960,￥2000,5天,重庆市-重庆市-市辖区,k890964452,https://task.epwk.com/javascript:;
【舞台设计】小型圆形舞台设计,https://task.epwk.com/963961/,192人,1人,¥2000,圆满完成,雇佣,k1323****1,"想要搭建一个小型的圆形舞台，直径10m,看台在舞台一侧沿舞台直径所在的直线设计成半圆形",2021.10.07,2021.10.15,任务编号：963961,￥2000,3天,江苏省-镇江市-市辖区,九毫米空间设计,https://task.epwk.com/javascript:;
【喷泉设计】雕塑喷泉设计,https://task.epwk.com/966837/,293人,1人,¥8000,圆满完成,雇佣,k8525****2,广场东西约780米，南北宽约230米，面积16.96公顷，想设计一个雕塑喷泉,2021.10.07,2021.10.16,任务编号：966837,￥8000,4天,四川省-绵阳市-市辖区,那作创意设计公司,https://task.epwk.com/javascript:;
【喷泉设计】别墅花园喷泉设计,https://task.epwk.com/966835/,198人,1人,¥5000,圆满完成,雇佣,k2716****1,最好有设计资质，并且从事3年以上，有成功案例的,2021.10.06,2021.10.18,任务编号：966835,￥5000,6天,贵州省-贵阳市-市辖区,三创设计工作室,https://task.epwk.com/javascript:;
【商业建筑】采摘园游客接待中心设计,https://task.epwk.com/966236/,224人,1人,¥1000,圆满完成,雇佣,k9558****1,占地15X50m，北侧为占地红线，西侧为采摘主入口道路，东侧为采摘园现状餐厅。层数2层，项目整体为农业观光园，风格为玻璃大棚，接待中心拟采用钢结构。,2021.10.06,2021.10.17,任务编号：966236,￥1000,5天,山东省-潍坊市-市辖区,赫筑餐饮空间设计,https://task.epwk.com/javascript:;
【工程造价】需要卡丁车赛道工程预算,https://task.epwk.com/966822/,289人,1人,¥2000,圆满完成,雇佣,k1711****0,卡丁车赛道的工程预算和全面结构图,2021.10.06,2021.10.16,任务编号：966822,￥2000,3天,浙江省-杭州市-市辖区,家是室内设计,https://task.epwk.com/javascript:;
【导视设计】校园交通导视标识系统设计,https://task.epwk.com/963914/,229人,1人,¥3000,圆满完成,雇佣,k1750****3,交通指示牌、路名牌、地图、特定场所区域指示牌及交通信息显示牌,2021.10.06,2021.10.16,任务编号：963914,￥3000,5天,浙江省-温州市-市辖区,大章设计,https://task.epwk.com/javascript:;
【舞台设计】搭建一个露天的舞台,https://task.epwk.com/963957/,191人,1人,¥2000,圆满完成,雇佣,k4142****5,在大学足球场上搭建一个露天的舞台，有led屏幕，演出是在上午10开始，所以灯光是用不上了，只能依托舞台上的背景板子和led了,2021.10.06,2021.10.15,任务编号：963957,￥2000,3天,山东省-潍坊市-市辖区,雅颂设计,https://task.epwk.com/javascript:;
【喷泉设计】校园喷泉设计,https://task.epwk.com/966832/,352人,2人,¥10000,圆满完成,雇佣,k5553****0,在校园内一块露天广场，想设计一个喷泉系统，把水喷向高空供师生欣赏。水池成正方形,2021.10.06,2021.10.17,任务编号：966832,"￥10000,￥10000","3天,5天","河北省-保定市-市辖区,江西省-南昌市-市辖区",威臣装饰工程设计,https://task.epwk.com/javascript:;
【喷泉设计】工厂门口的石雕喷泉设计,https://task.epwk.com/966834/,174人,1人,¥10000,圆满完成,雇佣,k8749****2,石雕喷泉打算放在工厂门口，将喷泉周遭快速的引入活水,2021.10.06,2021.10.16,任务编号：966834,￥10000,5天,江西省-赣州市-市辖区,雲尚设计工作室,https://task.epwk.com/javascript:;
【自建房】三层自建房装修设计,https://task.epwk.com/966561/,217人,1人,¥2000,圆满完成,雇佣,k7526****7,设计条件：一楼必须要有老人房，带卫生间，另外全部尽可能通透，客厅餐厅连在一起！需要安排公卫，二楼希望能有三个房间加一个小的书房，其中主卧需要有独立卫生间和淋浴，其他房间有一个公共卫生间加淋浴,2021.10.06,2021.10.19,任务编号：966561,￥2000,5天,湖南省-常德市-市辖区,岩槿设计,https://task.epwk.com/javascript:;
【医疗机构】医美中心前台设计,https://task.epwk.com/966246/,184人,1人,¥5000,圆满完成,雇佣,k1821****2,功能满足：前台、咨询室、办公室，风格偏简约时尚就好,2021.10.06,2021.10.17,任务编号：966246,￥5000,5天,云南省-昆明市-市辖区,逸典装饰设计,https://task.epwk.com/javascript:;
【商业建筑】商业街户外亮化设计方案效果图,https://task.epwk.com/966237/,317人,1人,¥1000,圆满完成,雇佣,k8817****7,商业街户外亮化项目  需要设计方案 效果图,2021.10.06,2021.10.16,任务编号：966237,￥1000,5天,浙江省-杭州市-市辖区,小猪餐饮设计,https://task.epwk.com/javascript:;
【喷泉设计】五星酒店音乐喷泉设计,https://task.epwk.com/966833/,280人,1人,¥10000,圆满完成,雇佣,k9192****6,想在酒店前设计一个总长100米，宽50米的音乐喷泉,2021.10.06,2021.10.16,任务编号：966833,￥10000,4天,广东省-汕头市-市辖区,名设公装设计,https://task.epwk.com/javascript:;
【样板间】四室两厅样板间设计,https://task.epwk.com/964132/,213人,1人,¥3000,圆满完成,雇佣,k7161****6,户型：四室两厅，面积：160平，风格：欧式风格，要经济适用,2021.10.06,2021.10.15,任务编号：964132,￥3000,3天,上海市-上海市-市辖区,k531286305,https://task.epwk.com/javascript:;
【样板间】橱柜衣柜样板间设计,https://task.epwk.com/964131/,162人,1人,¥500,圆满完成,雇佣,k2005****1,设计要求：所有衣柜橱柜护墙；美式风格，红橡木；可以先画一个厨房看下,2021.10.06,2021.10.18,任务编号：964131,￥500,3天,四川省-成都市-市辖区,新馨家居设计,https://task.epwk.com/javascript:;
【复式设计】复式公寓设计,https://task.epwk.com/963942/,187人,1人,¥3000,圆满完成,雇佣,k4291****5,装修风格：现代简约风格，房屋分类：毛坯房，面积：160，共4个房间，要现代风，白色为主,2021.10.05,2021.10.14,任务编号：963942,￥3000,3天,上海市-上海市-市辖区,坤华设计工作室,https://task.epwk.com/javascript:;
【复式设计】复式楼的挑空阳台设计,https://task.epwk.com/963941/,182人,1人,¥2000,圆满完成,雇佣,k3992****6,买的复式楼，阳台从一楼直接挑空的，二楼卧室有个窗户，风格：北欧风,2021.10.05,2021.10.14,任务编号：963941,￥2000,5天,安徽省-芜湖市-市辖区,AH商业空间设计,https://task.epwk.com/javascript:;
【工程造价】人防工程造价,https://task.epwk.com/965744/,477人,1人,¥5000,圆满完成,雇佣,k8987****7,人防地下室土建工程，要经验丰富,2021.10.05,2021.10.17,任务编号：965744,￥5000,4天,江西省-南昌市-市辖区,淄博前景空间设计,https://task.epwk.com/javascript:;
【商业建筑】宾馆效果图设计,https://task.epwk.com/966231/,267人,1人,¥1000,圆满完成,雇佣,k4743****0,三层宾馆，要求分别绘制南北视角两张效果图，要求颜色淡雅，体现舒适的特点，投标文件需提供南向视角小样。,2021.10.05,2021.10.16,任务编号：966231,￥1000,6天,上海市-上海市-市辖区,三分田设计,https://task.epwk.com/javascript:;
【娱乐休闲】4层商务酒店翻新装修设计,https://task.epwk.com/965558/,332人,1人,¥1000,圆满完成,雇佣,k9080****3,整体设计以现代简约的风格为主，不需要太过复杂的颜色，必须体现整个酒店外观看起来是时尚有风格的，让人看了会想入住,2021.10.05,2021.10.14,任务编号：965558,￥1000,3天,江苏省-南京市-市辖区,逢辉设计顾问,https://task.epwk.com/javascript:;
【娱乐休闲】30-40平ktv包房装修设计,https://task.epwk.com/965559/,191人,1人,¥1000,圆满完成,雇佣,k2215****6,30-40平ktv包房，体现年轻 现代 时尚风格 要求有单独演唱台,2021.10.05,2021.10.19,任务编号：965559,￥1000,5天,山西省-太原市-市辖区,毕索思空间设计,https://task.epwk.com/javascript:;
【复式设计】小复式户型设计,https://task.epwk.com/963940/,459人,2人,¥1000,圆满完成,雇佣,k6379****7,层高5米，客厅上面搭了一个小隔层，风格要美式风，合理利用空间，私密性要强,2021.10.05,2021.10.16,任务编号：963940,"￥1000,￥1000","5天,5天","江苏省-南京市-市辖区,湖南省-常德市-市辖区",曲高建筑装饰设计,https://task.epwk.com/javascript:;
【舞台设计】唱歌比赛舞台背景设计,https://task.epwk.com/963956/,227人,1人,¥3000,圆满完成,雇佣,k8897****7,关于是唱歌比赛的，背景设计要独特，明亮，简单的。比列是8*4的那种，先要在电脑上设计一份，是露天的，灯光不是很好，考虑到要制作简单和颜色鲜明,2021.10.05,2021.10.16,任务编号：963956,￥3000,5天,天津市-天津市-市辖区,咫尺设计,https://task.epwk.com/javascript:;
【商业建筑】商业街建筑设计,https://task.epwk.com/966229/,435人,1人,¥20000,圆满完成,雇佣,k3462****3,两侧式商业街宽度控制在8－10米，高度不要超过6米，东西方向排列,2021.10.05,2021.10.17,任务编号：966229,￥20000,5天,江西省-上尧市-市辖区,金和设计工作室,https://task.epwk.com/javascript:;
【复式设计】复式洋房设计,https://task.epwk.com/963943/,316人,1人,¥5000,圆满完成,雇佣,k8323****2,风格：现代新中式风格，面积：两层都是100平，实用简洁即可，设计师可自行发挥,2021.10.05,2021.10.17,任务编号：963943,￥5000,5天,浙江省-杭州市-市辖区,k173928739,https://task.epwk.com/javascript:;
【喷泉设计】想要一个圆形的喷泉设计,https://task.epwk.com/966053/,255人,1人,¥8000,圆满完成,雇佣,k5064****6,别墅庭院里，要圆形喷泉设计，周围要鲤鱼型的石雕,2021.10.05,2021.10.16,任务编号：966053,￥8000,3天,河北省-保定市-市辖区,鑫铂装饰设计,https://task.epwk.com/javascript:;
【娱乐休闲】四星级酒店大堂设计,https://task.epwk.com/966371/,230人,2人,¥3000,圆满完成,雇佣,k7498****0,设计风格：简欧、低调奢华、温馨。大堂布局由设计师根据平面图合理的设计，设计师如果有什么好的想法，可以自由发挥，支持新创意。设计要求：大堂照明不考虑水晶吊灯。,2021.10.05,2021.10.15,任务编号：966371,"￥3000,￥3000","5天,5天","湖南省-长沙市-市辖区,江西省-上尧市-市辖区",店铺视觉形象设计,https://task.epwk.com/javascript:;
【喷泉设计】酒店门口的喷泉设计,https://task.epwk.com/966052/,185人,1人,¥10000,圆满完成,雇佣,k6876****9,现在酒店门口外的空地设计一个喷泉，美观为主,2021.10.05,2021.10.14,任务编号：966052,￥10000,5天,江苏省-南京市-市辖区,黑马创意装饰设计,https://task.epwk.com/javascript:;
【样板间】小复式样板间设计,https://task.epwk.com/964126/,197人,1人,¥1000,圆满完成,雇佣,k2856****5,面积：70平，风格：新中式。布局合理即可，要温馨,2021.10.05,2021.10.17,任务编号：964126,￥1000,5天,上海市-上海市-市辖区,大千世界空间设计,https://task.epwk.com/javascript:;
【样板间】小区公园样板间设计,https://task.epwk.com/964127/,178人,2人,¥2000,圆满完成,雇佣,k1885****5,在小区内建个小公园，需要样板间，位置在中庭，要有凉亭，凉亭地面可以做地板材质的,2021.10.05,2021.10.13,任务编号：964127,"￥2000,￥2000","3天,3天","江西省-上尧市-市辖区,云南省-昆明市-市辖区",萤火虫设计_独立设计师,https://task.epwk.com/javascript:;
【样板间】新房样板间设计,https://task.epwk.com/964128/,209人,1人,¥3000,圆满完成,雇佣,k3844****5,装修风格：现代简约风格，厅室：三室两厅，面积：套内面积99平方，需要高水准简约风格设计能力的设计大师,2021.10.05,2021.10.15,任务编号：964128,￥3000,5天,湖南省-常德市-市辖区,空间设计师丶效果图,https://task.epwk.com/javascript:;
【自建房】自建房装修效果图,https://task.epwk.com/963321/,273人,1人,¥1500,圆满完成,雇佣,k2049****6,层高3.1米，梁下量2.8米。布局已经基本成型，墙体尽量不动，背面靠近阳台的两堵0.6的小墙可以动。房子比较长，寸光寸金，尽量不要挡住光线。餐厅和厨房卫生间墙面贴瓷砖，其余的准备贴墙纸，要求现代简约类型的。,2021.10.05,2021.10.15,任务编号：963321,￥1500,3天,四川省-成都市-市辖区,唯東设计,https://task.epwk.com/javascript:;
【自建房】三层自建房设计,https://task.epwk.com/963320/,223人,1人,¥800,圆满完成,雇佣,k6198****9,一楼做车库和储藏间，二楼三楼做房间和饭厅，厨房放在二楼，要充分考虑各层通风采光，平面设计要考虑南方风水。出平面图和效果图即可，无需整套设计图纸。,2021.10.05,2021.10.16,任务编号：963320,￥800,3天,江苏省-南京市-市辖区,徐哲（独立设计师）,https://task.epwk.com/javascript:;
【自建房】自建房两层装修设计,https://task.epwk.com/963322/,285人,1人,¥3000,圆满完成,雇佣,k3884****6,必须要有详细施工图纸一套（平面设计图，CAD格式），装修平面图，吊顶图，立面装修图，地板布置图、强弱电路图（弱电包括电话、网络、电视），电灯插座、开关控制布置，地面防水处理、给排水路图，家具立面图，。每张图纸要求有材料清单：有图例、材料名称、规格型号，数量，参考品牌，参考价格等，便于我今后方便购买。,2021.10.05,2021.10.15,任务编号：963322,￥3000,3天,江西省-上尧市-市辖区,室内设计、灯光设计,https://task.epwk.com/javascript:;
【商业建筑】文旅购物中心设计,https://task.epwk.com/966228/,1517人,1人,¥50000,圆满完成,雇佣,k7619****9,项目地点在西藏，总建筑面积:6000平方米，要具有藏族文化特色,2021.10.05,2021.10.16,任务编号：966228,￥50000,7天,广东省-汕头市-市辖区,易临达观装饰工程设计策划,https://task.epwk.com/javascript:;
【复式设计】农村二层别墅内外设计,https://task.epwk.com/963938/,177人,2人,¥2000,圆满完成,雇佣,k1935****1,二层连排别墅现代欧美装修，二层做婚房，楼梯口房间做客房。楼下主卧给父母居住。整体风格：现代欧美，喜欢暖色调,2021.10.04,2021.10.16,任务编号：963938,"￥2000,￥2000","6天,6天","四川省-成都市-市辖区,浙江省-杭州市-市辖区",顷禾装饰设计,https://task.epwk.com/javascript:;
【商业建筑】精品酒店建筑设计,https://task.epwk.com/965248/,812人,1人,¥40000,圆满完成,雇佣,k1939****6,"精品酒店，建筑面积42,000 ㎡，现代风格，舒适温馨为主",2021.10.04,2021.10.16,任务编号：965248,￥40000,6天,江苏省-镇江市-市辖区,婴知道设计,https://task.epwk.com/javascript:;
【喷泉设计】鱼池喷泉设计,https://task.epwk.com/965892/,263人,1人,¥5000,圆满完成,雇佣,k7460****6,设计总长160米，宽60米，主喷喷高80米左右的喷泉,2021.10.04,2021.10.14,任务编号：965892,￥5000,3天,江苏省-镇江市-市辖区,亚蓝特设计,https://task.epwk.com/javascript:;
【样板间】住宅样板间设计,https://task.epwk.com/964123/,210人,1人,¥2000,圆满完成,雇佣,k9064****8,面积98平，三房两卫，风格精致温馨即可,2021.10.04,2021.10.13,任务编号：964123,￥2000,3天,上海市-上海市-市辖区,k865074339,https://task.epwk.com/javascript:;
【商业建筑】影视媒体园区设计,https://task.epwk.com/965240/,902人,1人,¥50000,圆满完成,雇佣,k8897****7,"占地面积：8,000㎡，以明亮的商业空间提供舒适的人行环境。",2021.10.03,2021.10.16,任务编号：965240,￥50000,6天,云南省-昆明市-市辖区,黎然设计工作室,https://task.epwk.com/javascript:;
【复式设计】半复式楼的装修设计,https://task.epwk.com/963937/,247人,1人,¥2000,圆满完成,雇佣,k4873****3,毛坯新房，是个半复式的空间，楼下是两房，复式夹层是一方，喜欢欧式装修,2021.10.03,2021.10.13,任务编号：963937,￥2000,3天,陕西省-西安市-市辖区,麦点品牌设计定制,https://task.epwk.com/javascript:;
【复式设计】想把单层改复式设计,https://task.epwk.com/963936/,169人,1人,¥1000,圆满完成,雇佣,k9972****2,单层面积53㎡的上下两层的复式，开间为4.2，进深为10，进门为卫生间,2021.10.03,2021.10.15,任务编号：963936,￥1000,6天,江西省-上尧市-市辖区,京羿视觉装饰设计,https://task.epwk.com/javascript:;
【商业建筑】体能培训乐园布局规划,https://task.epwk.com/965242/,260人,2人,¥2000,圆满完成,雇佣,k2797****1,层高5米，宽度24米，长70米，要求体育项目多样，合理利用空间，轮滑，击剑，体操多些要，划分好各个区域及所用材质，外围，平房一排，各种培训等及配套餐饮娱乐，旁边蹦床乐园,2021.10.03,2021.10.17,任务编号：965242,"￥2000,￥2000","5天,7天","浙江省-杭州市-市辖区,河北省-石家庄市-市辖区",k886170732,https://task.epwk.com/javascript:;
【商业建筑】小型工业区建筑外观形象设计,https://task.epwk.com/965241/,207人,1人,¥2000,圆满完成,雇佣,k7619****9,一个小型工业区，其中三个联栋厂房和一个办公研发楼，请设计这四个建筑的外观，三个厂房基本一致。要求风格现代、大气庄重、有些许独到的思路。,2021.10.03,2021.10.15,任务编号：965241,￥2000,5天,浙江省-杭州市-市辖区,逢辉设计顾问,https://task.epwk.com/javascript:;
【工程造价】办公楼建筑安装工程造价,https://task.epwk.com/964980/,610人,2人,¥5000,圆满完成,雇佣,k8953****7,一栋3层的办公楼建安工程，包括人工费、材料费、施工机具使用费、企业管理费、利润、规费和税金这些,2021.10.03,2021.10.15,任务编号：964980,"￥5000,￥5000","5天,6天","陕西省-西安市-市辖区,江西省-上尧市-市辖区",设计人花爷,https://task.epwk.com/javascript:;
【工程造价】土木工程造价,https://task.epwk.com/964979/,543人,1人,¥5000,圆满完成,雇佣,k4519****9,乡镇三级路其他路面分项工程,2021.10.03,2021.10.15,任务编号：964979,￥5000,5天,云南省-昆明市-市辖区,斑马设计工作室,https://task.epwk.com/javascript:;
,,,,,,,,,,,,,,,,
【喷泉设计】急需假山喷泉设计,https://task.epwk.com/961329/,538人,1人,¥40000,圆满完成,雇佣,k3356****6,做一个600平方的假山和喷泉，假山面积要50平方左右,2021.10.03,2021.10.15,任务编号：961329,￥40000,5天,河北省-保定市-市辖区,k755475967,https://task.epwk.com/javascript:;
【商业建筑】连锁酒店建筑外观设计,https://task.epwk.com/965243/,285人,2人,¥1000,圆满完成,雇佣,k6548****8,主要是雨棚部分的设计，以前是雨棚顶是玻璃，现在不用玻璃，顶部做防水，设计雨棚前檐口和底部，雨棚是弧形的。,2021.10.03,2021.10.12,任务编号：965243,"￥1000,￥1000","6天,6天","上海市-上海市-市辖区,山东省-青岛市-市辖区",唯東设计,https://task.epwk.com/javascript:;
【娱乐休闲】酒店式公寓客房装修设计,https://task.epwk.com/965557/,153人,1人,¥1500,圆满完成,雇佣,k4863****9,6米挑高，上下两层，一共70平，家居家电都齐全，风格简约干净为主,2021.10.03,2021.10.13,任务编号：965557,￥1500,3天,湖南省-长沙市-市辖区,银翼效果图设计表现,https://task.epwk.com/javascript:;
【样板间】小三房样板间设计,https://task.epwk.com/964122/,397人,2人,¥2000,圆满完成,雇佣,,,,,,,,,,
【自建房】自建房做民宿装修设计,https://task.epwk.com/963316/,196人,1人,¥3000,圆满完成,雇佣,k2938****5,一楼是前台接待和早餐区，二三四楼是客房，五楼有一半做独立套房，另一半及最高的半层做跃层，即两层一套，内部楼梯上下 。房子要设计合理，满足舒适性、功能性、合理性、私密性; 请设计师自行发挥,2021.10.03,2021.10.12,任务编号：963316,￥3000,3天,湖南省-常德市-市辖区,清晰空间设计,https://task.epwk.com/javascript:;
【医疗机构】减肥机构大厅设计,https://task.epwk.com/964142/,152人,1人,¥3000,圆满完成,雇佣,k2111****3,出了常规的前台和休息区外，要有一面形象墙，供摆放宣传照片用。风格简约明亮,2021.10.03,2021.10.13,任务编号：964142,￥3000,5天,贵州省-贵阳市-市辖区,七芒星装饰设计,https://task.epwk.com/javascript:;
【自建房】自建房屋顶天台设计,https://task.epwk.com/963315/,196人,1人,¥1000,圆满完成,雇佣,k5910****1,屋顶天台东西两侧为邻居，有墙（东和北两边为0.98米，南边0.3米（估计用玻璃栅栏），西边高2-1.75米，详见照片）。楼梯顶高3.4米左右，把房屋分割我南北两部分，东边有约1.35米通道。,2021.10.03,2021.10.15,任务编号：963315,￥1000,5天,上海市-上海市-市辖区,雅和空间设计,https://task.epwk.com/javascript:;
【商业建筑】双层钢构厂房需要结构设计,https://task.epwk.com/965238/,225人,1人,¥2000,圆满完成,雇佣,k7431****1,有一双层钢构厂房（建筑面积约2100平，内部局部有夹层，高约9.77米）需要结构设计,2021.10.02,2021.10.13,任务编号：965238,￥2000,7天,江苏省-镇江市-市辖区,筑8设计,https://task.epwk.com/javascript:;
【复式设计】小户型复式装修设计,https://task.epwk.com/963932/,195人,1人,¥1000,圆满完成,雇佣,k9978****2,设计风格：日式风，单层面积60平，楼上2个房间,2021.10.02,2021.10.12,任务编号：963932,￥1000,5天,湖北省-孝感市-市辖区,王本设计机构,https://task.epwk.com/javascript:;
【导视设计】生物制药厂导视设计,https://task.epwk.com/963909/,524人,1人,¥40000,圆满完成,雇佣,k7526****7,我需要整套的导视设计，工业厂房，有做过类似项目的优先。,2021.10.02,2021.10.11,任务编号：963909,￥40000,3天,江西省-上尧市-市辖区,天异视觉设计,https://task.epwk.com/javascript:;
【复式设计】复式办公室装修设计,https://task.epwk.com/963933/,273人,1人,¥3000,圆满完成,雇佣,k6198****9,办公室装修设计风格：现代，简约，时尚，大气。功能分区要明显，3个独立办公室，一楼做前台和茶水间,2021.10.02,2021.10.12,任务编号：963933,￥3000,3天,湖南省-常德市-市辖区,那作创意设计公司,https://task.epwk.com/javascript:;
【医疗机构】康复医院大厅装修设计,https://task.epwk.com/964141/,203人,1人,¥6000,圆满完成,雇佣,k7267****6,大厅要有三部分区域，收银区域，取药处和等候区，简约就好，不用太复杂,2021.10.02,2021.10.12,任务编号：964141,￥6000,3天,浙江省-温州市-市辖区,A+图纸深化设计,https://task.epwk.com/javascript:;
【样板间】2居简约样板间设计,https://task.epwk.com/964120/,456人,2人,¥1500,圆满完成,雇佣,k4128****6,是一套90平2居房，整体要布局合理，搭配时尚,2021.10.02,2021.10.16,任务编号：964120,"￥1500,￥1500","5天,5天","湖北省-孝感市-市辖区,陕西省-西安市-市辖区",大地空间概念设计,https://task.epwk.com/javascript:;
【工程造价】房屋建筑工程造价,https://task.epwk.com/964771/,472人,1人,¥4000,圆满完成,雇佣,k4664****6,6层以下居住房屋建筑，做一个整套的工程预算,2021.10.02,2021.10.12,任务编号：964771,￥4000,5天,山东省-潍坊市-市辖区,苏舒设计工作室,https://task.epwk.com/javascript:;
【医疗机构】儿童眼科医院设计,https://task.epwk.com/964140/,509人,2人,¥3000,圆满完成,雇佣,k6379****7,医院主营儿童近视、弱视矫正治疗。风格：可带有卡通元素，前台带有医院logo，有企业墙和党政宣传栏,2021.10.02,2021.10.12,任务编号：964140,"￥3000,￥3000","3天,5天","湖北省-襄阳市-市辖区,江西省-南昌市-市辖区",九毫米空间设计,https://task.epwk.com/javascript:;
【自建房】求自建房装修方案,https://task.epwk.com/963311/,193人,1人,¥1000,圆满完成,雇佣,k9095****8,面积：80平地基，三层框架结构。需求：1、内部布局可稍作调整，二楼需带阳台，主卧要求有洗手间。2、整体风格简洁、偏时尚，耐看，目前外墙个人倾向涂料。3、外观3D效果图和简单的施工方案说明；4、平面布置图、水电布置图、大厅、厨房和主要房间的效果图。,2021.10.02,2021.10.13,任务编号：963311,￥1000,6天,湖北省-孝感市-市辖区,k519318507,https://task.epwk.com/javascript:;
【娱乐休闲】酒店房间设计,https://task.epwk.com/962939/,227人,1人,¥2000,圆满完成,雇佣,k9508****4,设计要求：地面装修考虑地毯，卫生间与卧室隔墙采用玻璃隔断或实墙加玻璃窗隔断，或装修费用在5万左右。,2021.10.01,2021.10.13,任务编号：962939,￥2000,3天,江苏省-南京市-市辖区,方向店铺设计,https://task.epwk.com/javascript:;
【娱乐休闲】五星酒店江景房房间设计,https://task.epwk.com/962940/,170人,1人,¥2500,圆满完成,雇佣,k7614****5,套内面积67平方米，风格：简欧、低调奢华、温馨。本房间东面为江景。要求布局合理，功能实用，充分考虑入住客人的心理需求,2021.10.01,2021.10.15,任务编号：962940,￥2500,5天,江苏省-南京市-市辖区,九毫米空间设计,https://task.epwk.com/javascript:;
